loc,v_g,ev_g,iv_g,n,v,l,d,i,e,b,t,locode,locomment,loblank,loccodeandcomment,uniq_op,uniq_opnd,total_op,total_opnd,branchcount,defects,source_project,locodeandcomment,problems,branch_count,call_pairs,loc_code_and_comment,loc_comments,condition_count,cyclomatic_complexity,cyclomatic_density,decision_count,decision_density,design_complexity,design_density,edge_count,essential_complexity,essential_density,loc_executable,parameter_count,halstead_content,halstead_difficulty,halstead_effort,halstead_error_est,halstead_length,halstead_level,halstead_prog_time,halstead_volume,maintenance_severity,modified_condition_count,multiple_condition_count,node_count,normalized_cylomatic_complexity,num_operands,num_operators,num_unique_operands,num_unique_operators,number_of_lines,percent_comments,loc_total,c,loc_blank,complexity_score,decomposition_depth,decomp_index,decomp_depth_qcut
20.0,3.0,1.0,1.0,31.0,118.03,0.11,9.0,13.11,1062.25,0.04,59.01,13.0,4.0,0.0,0.0,9.0,5.0,21.0,10.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0054870913394281,1,21.266666666666666,2
39.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,1
78.0,6.0,1.0,5.0,192.0,1072.31,0.04,28.21,38.01,30254.54,0.36,1680.81,45.0,6.0,19.0,6.0,20.0,28.0,113.0,79.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0138097012980842,1,2040.0043902439024,4
6.0,2.0,1.0,1.0,21.0,82.04,0.17,6.0,13.67,492.27,0.03,27.35,4.0,0.0,0.0,0.0,10.0,5.0,15.0,6.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0059527369770079,1,2.87859649122807,1
24.0,3.0,1.0,1.0,52.0,224.74,0.06,16.71,13.45,3756.37,0.07,208.69,18.0,0.0,4.0,0.0,13.0,7.0,34.0,18.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0057976687415394,1,88.42229508196722,3
23.0,2.0,1.0,2.0,51.0,233.83,0.17,6.0,38.97,1403.0,0.08,77.94,19.0,0.0,2.0,0.0,9.0,15.0,31.0,20.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071211481993201,1,31.450818713450293,2
69.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0047095941305403,1,0.0,1
53.0,4.0,1.0,4.0,106.0,539.27,0.07,14.86,36.3,8012.03,0.18,445.11,36.0,7.0,8.0,0.0,13.0,21.0,58.0,48.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088243701390873,1,402.5536619718309,4
25.0,2.0,1.0,2.0,71.0,355.0,0.15,6.46,54.98,2292.07,0.12,127.34,20.0,3.0,0.0,0.0,9.0,23.0,38.0,33.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073634337611543,1,58.77483443708609,3
15.0,3.0,1.0,2.0,47.0,215.49,0.11,9.0,23.94,1939.44,0.07,107.75,10.0,0.0,2.0,1.0,12.0,12.0,29.0,18.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062844750569501,1,29.120270270270275,2
44.0,10.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0124847811435061,1,0.0,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4.0,0.0,2.0,0.0,5.0,6.0,8.0,7.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0092246337446314,1,1.2173607038123166,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4.0,0.0,2.0,0.0,5.0,6.0,8.0,7.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0092246337446314,1,1.2173607038123166,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4.0,0.0,2.0,0.0,5.0,6.0,8.0,7.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0092246337446314,1,1.2173607038123166,1
8.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,4.0,0.0,2.0,0.0,5.0,5.0,8.0,6.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089556954077378,1,1.124108761329305,1
9.0,2.0,1.0,1.0,17.0,62.91,0.24,4.08,15.41,256.87,0.02,14.27,6.0,0.0,1.0,0.0,7.0,6.0,10.0,7.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073477045961723,1,2.349336099585062,1
8.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,4.0,0.0,2.0,0.0,5.0,6.0,8.0,7.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0092246337446314,1,1.2173607038123166,1
12.0,4.0,1.0,1.0,40.0,183.4,0.13,8.0,22.92,1467.19,0.06,81.51,8.0,0.0,2.0,0.0,12.0,12.0,24.0,16.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066405010775596,1,16.8,2
42.0,9.0,1.0,4.0,135.0,708.47,0.07,14.88,47.63,10538.49,0.24,585.47,28.0,6.0,6.0,0.0,17.0,30.0,116.0,74.0,27.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0119411362988791,1,419.0949295774648,4
14.0,1.0,1.0,1.0,79.0,346.99,0.22,4.59,75.63,1592.09,0.12,88.45,12.0,0.0,0.0,0.0,4.0,17.0,40.0,39.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0082829199239114,1,21.981266968325794,2
19.0,5.0,1.0,1.0,62.0,267.96,0.05,21.0,12.76,5627.15,0.09,312.62,15.0,0.0,2.0,0.0,12.0,8.0,34.0,28.0,9.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0072056984443538,1,99.82823529411765,4
13.0,2.0,1.0,2.0,50.0,235.02,0.24,4.24,55.47,995.75,0.08,55.32,10.0,0.0,1.0,0.0,7.0,19.0,27.0,23.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0086519004280533,1,12.677427385892116,2
46.0,4.0,1.0,4.0,80.0,396.34,0.08,11.92,33.26,4723.0,0.13,262.39,28.0,1.0,14.0,0.0,13.0,18.0,47.0,33.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078747894068361,1,225.081975308642,4
20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,1
22.0,1.0,1.0,1.0,107.0,508.77,0.08,12.06,42.19,6135.2,0.17,340.84,16.0,0.0,4.0,0.0,10.0,17.0,66.0,41.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066081108756903,1,138.18444444444444,4
32.0,2.0,1.0,2.0,157.0,851.92,0.08,12.2,69.81,10396.13,0.28,577.56,23.0,3.0,4.0,0.0,11.0,32.0,86.0,71.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0091651091142599,1,336.56098765432097,4
13.0,1.0,1.0,1.0,45.0,171.33,0.07,14.4,11.9,2467.17,0.06,137.06,9.0,0.0,2.0,0.0,9.0,5.0,29.0,16.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0046498855249868,1,31.37028169014085,2
12.0,3.0,1.0,2.0,22.0,88.0,0.12,8.33,10.56,733.33,0.03,40.74,9.0,0.0,1.0,0.0,10.0,6.0,12.0,10.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0056877931258972,1,8.727272727272727,2
6.0,1.0,1.0,1.0,11.0,34.87,0.32,3.12,11.16,108.97,0.01,6.05,3.0,0.0,1.0,0.0,5.0,4.0,6.0,5.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008629904114192,1,0.6517757009345794,1
17.0,3.0,1.0,1.0,28.0,109.39,0.13,7.43,14.73,812.63,0.04,45.15,13.0,1.0,1.0,0.0,8.0,7.0,15.0,13.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0057367212894568,1,14.195648854961831,2
5.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,3.0,0.0,0.0,0.0,7.0,5.0,9.0,6.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0068836041539373,1,1.1155601659751038,1
37.0,4.0,1.0,4.0,73.0,371.38,0.1,10.15,36.59,3769.56,0.12,209.42,23.0,6.0,6.0,0.0,14.0,20.0,44.0,29.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0079829663060962,1,136.05009900990098,4
18.0,1.0,1.0,1.0,18.0,72.0,0.3,3.3,21.82,237.6,0.02,13.2,14.0,0.0,2.0,0.0,6.0,10.0,7.0,11.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0083679344981797,1,4.305647840531561,1
53.0,6.0,1.0,3.0,176.0,942.93,0.03,30.23,31.19,28502.18,0.31,1583.45,37.0,2.0,10.0,2.0,19.0,22.0,106.0,70.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126172288208725,1,1612.1061290322582,4
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129690111343111,1,0.2395209580838323,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129690111343111,1,0.2395209580838323,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129690111343111,1,0.2395209580838323,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129690111343111,1,0.2395209580838323,1
4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129690111343111,1,0.2395209580838323,1
50.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0058630466322103,1,0.0,1
14.0,3.0,1.0,1.0,21.0,82.04,0.13,8.0,10.26,656.36,0.03,36.46,7.0,2.0,3.0,0.0,10.0,5.0,13.0,8.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0056185602295773,1,8.76763358778626,2
11.0,2.0,1.0,1.0,30.0,120.0,0.11,9.17,13.09,1100.0,0.04,61.11,8.0,0.0,1.0,0.0,10.0,6.0,19.0,11.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005075283152445,1,11.891891891891891,2
33.0,4.0,1.0,3.0,98.0,485.51,0.09,10.71,45.31,5201.91,0.16,288.99,29.0,0.0,2.0,0.0,10.0,21.0,53.0,45.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0082761694369307,1,176.06406593406592,4
4.0,1.0,1.0,1.0,8.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0104865428049592,1,0.2394014962593516,1
13.0,2.0,1.0,2.0,59.0,236.0,0.13,7.8,30.26,1840.8,0.08,102.27,9.0,0.0,2.0,0.0,6.0,10.0,33.0,26.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064385465817432,1,23.419847328244277,2
49.0,6.0,3.0,5.0,137.0,760.98,0.04,23.76,32.03,18080.85,0.25,1004.49,38.0,0.0,9.0,0.0,22.0,25.0,83.0,54.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0132689195246358,1,909.4639024390244,4
45.0,6.0,1.0,3.0,226.0,1268.92,0.04,27.36,46.38,34716.98,0.42,1928.72,40.0,1.0,2.0,0.0,17.0,32.0,123.0,103.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0143386131579547,1,1392.7170731707315,4
65.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040232201362525,1,0.0,1
40.0,5.0,3.0,5.0,131.0,723.59,0.04,23.38,30.96,16913.84,0.24,939.66,32.0,0.0,5.0,0.0,22.0,24.0,80.0,51.0,9.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125899103080173,1,705.9414634146342,4
31.0,4.0,3.0,4.0,107.0,576.98,0.05,20.5,28.15,11828.05,0.19,657.11,23.0,0.0,6.0,0.0,21.0,21.0,66.0,41.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0109811106291235,1,350.71333333333337,4
45.0,9.0,9.0,5.0,195.0,1094.87,0.03,28.97,37.8,31713.43,0.36,1761.86,36.0,4.0,5.0,0.0,20.0,29.0,111.0,84.0,17.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0223546103851845,1,1589.3274193548384,4
31.0,6.0,1.0,3.0,69.0,338.58,0.07,14.86,22.79,5030.26,0.11,279.46,21.0,3.0,5.0,0.0,16.0,14.0,43.0,26.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0082342523751284,1,147.8307042253521,4
28.0,2.0,1.0,2.0,75.0,339.27,0.07,15.27,22.21,5181.53,0.11,287.86,17.0,8.0,1.0,0.0,12.0,11.0,47.0,28.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064015972410261,1,133.79661971830984,4
49.0,3.0,1.0,3.0,121.0,639.53,0.05,20.86,30.65,13343.0,0.21,741.28,33.0,2.0,4.0,8.0,17.0,22.0,67.0,54.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089178985099042,1,614.4503921568627,4
30.0,5.0,3.0,4.0,100.0,545.94,0.05,21.0,26.0,11464.81,0.18,636.93,21.0,1.0,5.0,1.0,22.0,22.0,58.0,42.0,9.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0112692756394344,1,321.1411764705883,4
28.0,5.0,3.0,4.0,98.0,528.45,0.05,20.0,26.42,10568.94,0.18,587.16,21.0,0.0,5.0,0.0,21.0,21.0,58.0,40.0,9.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0110704942408426,1,290.12941176470594,4
21.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003607339107118,1,0.0,1
45.0,12.0,1.0,6.0,160.0,813.99,0.04,28.44,28.62,23153.61,0.27,1286.31,34.0,1.0,8.0,0.0,16.0,18.0,96.0,64.0,23.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0152888789454713,1,893.4036585365855,4
31.0,3.0,1.0,2.0,87.0,438.86,0.09,10.86,40.42,4764.79,0.15,264.71,24.0,0.0,5.0,0.0,12.0,21.0,49.0,38.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073244542815128,1,149.50175824175824,4
11.0,3.0,1.0,2.0,39.0,165.67,0.09,11.69,14.17,1936.26,0.06,107.57,9.0,0.0,0.0,0.0,11.0,8.0,22.0,17.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005838694118699,1,20.02604395604396,2
28.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074534965695647,1,0.0,1
12.0,2.0,1.0,1.0,16.0,59.21,0.24,4.08,14.5,241.76,0.02,13.43,7.0,0.0,3.0,0.0,7.0,6.0,9.0,7.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073243914308654,1,2.9482157676348546,1
20.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0069547434523577,1,0.0,1
28.0,3.0,1.0,2.0,95.0,502.11,0.08,12.32,40.76,6186.03,0.17,343.67,20.0,0.0,6.0,0.0,14.0,25.0,51.0,44.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0075787745719042,1,173.5688888888889,4
38.0,6.0,1.0,3.0,75.0,339.27,0.04,23.33,14.54,7916.23,0.11,439.79,12.0,2.0,19.0,3.0,14.0,9.0,45.0,30.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0085747839672966,1,314.4453658536585,4
14.0,10.0,7.0,6.0,97.0,396.48,0.02,43.2,9.18,17128.1,0.13,951.56,12.0,0.0,0.0,0.0,12.0,5.0,61.0,36.0,19.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188816079354322,1,264.32,4
29.0,3.0,1.0,2.0,95.0,502.11,0.08,12.32,40.76,6186.03,0.17,343.67,21.0,0.0,6.0,0.0,14.0,25.0,51.0,44.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0075787745719042,1,179.76777777777778,4
15.0,2.0,1.0,2.0,19.0,70.31,0.19,5.25,13.39,369.12,0.02,20.51,7.0,4.0,2.0,0.0,7.0,6.0,10.0,9.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065337246745901,1,5.5217277486911,2
54.0,5.0,1.0,4.0,116.0,574.69,0.03,33.23,17.29,19097.28,0.19,1060.96,33.0,5.0,14.0,0.0,18.0,13.0,68.0,48.0,9.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0107115158975076,1,1001.0729032258064,4
