Journal Title,Publisher,ISSN,Journal Quartile,H-Index,SJR,Publication Language,Country of Publisher,Review Process,Processing Time,APC,Open Access,URL,Review Time,LaTeX Template,Active Status
Cybersecurity,SpringerOpen,2523-3246,Q4 (2024),37,0.203,ENG,United Kingdom,Double anonymous peer review,9 weeks (Average),No Publication Charges,Yes,https://www.bleepingcomputer.com/,Not specified,https://github.com/topics/latex-template?l=python,Active
ETRI Journal,Electronics and Telecommunications Research Institute (ETRI),2233-7326,Q3 (2024),54,0.420,ENG,United States,Double anonymous peer review,8 weeks (Average),Potential APC found (Flagged),Open Access (Unspecified),https://fastpub.org/details.php?q=etri+journal,Not specified,https://scispace.com/formats/wiley/etri-journal/115f4dabadde4685bf44a07a4f210426,Active
Serbian Journal of Electrical Engineering,Faculty of Technical Sciences in Cacak,2217-7183,Q4 (2024),11,0.212,ENG,Serbia,Peer review (Unspecified),25 weeks (Average),Verified 0 / No APC,Yes,https://journalseeker.com/journal.php?q=serbian+journal+of+electrical+engineering,Not specified,Not specified,Active
Journal of Internet Services and Applications,Brazilian Computing Society (SBC),1869-0238,Q4 (2024),36,0.280,ENG,Brazil,Anonymous peer review,13 weeks (Average),No Publication Charges,Yes,https://www.research-collection.ethz.ch/entities/journal/d0373732-8d39-4cde-8fb9-6f0873c2b2db,Not specified,Not specified,Active
International Journal on Electrical Engineering and Informatics,School of Electrical Engineering and Informatics,,Q4 (2024),28,0.160,ENG,Indonesia,Peer review (Unspecified),20 weeks (Average),Verified 0 / No APC,Yes,https://journalseeker.com/journal.php?q=international+journal+on+electrical+engineering+and+informatics,Not specified,Not specified,Active
"Journal of Mechatronics, Electrical Power, and Vehicular Technology",Indonesian Institute of Sciences,2088-6985,Q3 (2024),7,0.221,ENG,Indonesia,Peer review (Unspecified),16 weeks (Average),Potential APC found (Flagged),Open Access (Unspecified),https://mev.brin.go.id/index.php/mev,Not specified,Not specified,Active
ECTI Transactions on Computer and Information Technology,"Electrical Engineering/Electronics, Computer, Communications and Information Technology Association",2286-9131,Q3 (2024),11,0.213,ENG,Thailand,Double-blind peer review,15 weeks (Average),Verified 0 / No APC,Yes,https://ph01.tci-thaijo.org/index.php/ecticit,Not specified,https://scispace.com/formats/thai-journal-citation-index-centre/ecti-transactions-on-computer-and-information-technology/b135fa14e36846f7bb0b7713633d015e,Active
Protection and Control of Modern Power Systems,SpringerOpen,2367-0983,Q1 (2024),66,3.964,ENG,Singapore,Not specified,0 weeks (Average),No Publication Charges,Yes,https://www.pcmp.info/pcmp/article/abstract/202602012,Not specified,https://scispace.com/formats/taylor-and-francis/electric-power-components-and-systems/08baedbf86648de6560e8faefa20dacb,Active
Electrica,AVES,2619-9831,Q4 (2024),18,0.216,ENG,Turkey,Double anonymous peer review,20 weeks (Average),No Publication Charges,Yes,https://vk.com/e_electrica,Not specified,https://br.pinterest.com/pin/energa-elctrica-in-2024--345932815147370189/,Flagged: Inactive/Archived
"Modeling, Identification and Control",Norwegian Society of Automatic Control,1890-1328,Q3 (2024),33,0.219,ENG,Norway,Peer review,10 weeks (Average),No Publication Charges,Yes,https://www.chatbots.org/journal/modeling_identification_and_control,Not specified,Not specified,Active
Journal of Universal Computer Science,Graz University of Technology,0948-6968,Q2 (2024),61,0.308,ENG,Austria,Peer review (Unspecified),8 weeks (Average),Potential APC found (Flagged),Open Access (Unspecified),https://www.peeref.com/journals/5404/journal-of-universal-computer-science,Not specified,https://no.overleaf.com/latex/templates/jucs-article-template-latex-v5/vwcrhyzdfvkb,Active
Electronic Journal of Plant Breeding,Indian Society of Plant Breeders,0975-928X,Q3 (2024),19,0.258,ENG,India,Double anonymous peer review,25 weeks (Average),No Publication Charges,Yes,Not found,Not specified,Not specified,Active
Electronic Journal of Differential Equations,Texas State University,1072-6691,Q3 (2024),57,0.335,ENG,United States,Anonymous peer review,20 weeks (Average),No Publication Charges,Yes,https://ejde.math.txstate.edu/,Not specified,Not specified,Active
Electronic Green Journal,"eScholarship Publishing, University of California",1076-7975,Q3 (2024),16,0.233,ENG,United States,Peer review (Unspecified),12 weeks (Average),Verified 0 / No APC,Yes,https://journalseeker.com/journal.php?q=electronic+green+journal,Not specified,Not specified,Active
Electronic Journal of Combinatorics,Electronic Journal of Combinatorics,1077-8926,Q1 (2024),61,0.846,ENG,United States,Double anonymous peer review,24 weeks (Average),No Publication Charges,Open Access (Unspecified),https://research.aalto.fi/en/publications/one-factorizations-of-regular-graphs-of-order-12/,Not specified,http://ijc.or.id/index.php/ijc/article/view/33,Active
Journal of Electronic Publishing,Michigan Publishing,1080-2711,Q3 (2024),20,0.278,ENG,United States,Peer review,16 weeks (Average),No Publication Charges,CC BY OA,https://www.openreflections.org/?tag=journal-of-electronic-publishing,Not specified,https://en.wikipedia.org/wiki/Overleaf,Active
Inteligencia Artificial,Asociación Española para la Inteligencia Artificial,1988-3064,Q3 (2024),19,0.302,ENG; SPA,Spain,Double anonymous peer review,8 weeks (Average),No Publication Charges,Yes,https://www.bbc.com/mundo/articles/c935qp64qvpo,Not specified,https://www.tiktok.com/discover/tan-tan-inteligencia-artificial,Active
International Electronic Journal of Algebra,International Electronic Journal of Algebra,1306-6048,Q4 (2024),11,0.243,ENG,Turkey,Not specified,0 weeks (Average),No Publication Charges,Yes,https://dergipark.org.tr/en/pub/ieja/issue/68167/1785359,Not specified,Not specified,Active
Journal of Advanced Computational Intelligence and Intelligent Informatics,Fuji Technology Press Ltd.,1883-8014,Q4 (2024),34,0.231,ENG,Japan,Peer review (Unspecified),28 weeks (Average),No Publication Charges,Open Access (Unspecified),https://www.jstage.jst.go.jp/browse/jaciii/24/3/_contents/-char/en,Not specified,Not specified,Flagged: Inactive/Archived
Electronic Journal of Qualitative Theory of Differential Equations,University of Szeged,1417-3875,Q4 (2024),43,0.296,ENG,Hungary,Anonymous peer review,27 weeks (Average),Potential APC found (Flagged),Yes,https://real-j.mtak.hu/16601/1/EJQTDE_2021_a.pdf,Not specified,Not specified,Active
Australasian Journal of Information Systems,Australasian Association for Information Systems,1326-2238,Q4 (2024),37,0.468,ENG,Australia,"Double anonymous peer review, Post-publication peer review",20 weeks (Average),No Publication Charges,Yes,https://researchsystem.canberra.edu.au/ws/portalfiles/portal/25470884/full_text_published.pdf,Not specified,Not specified,Active
Computer Science,AGH University of Science and Technology Press,2300-7036,Q2 (2024),12,0.209,ENG,Poland,Double anonymous peer review,8 weeks (Average),No Publication Charges,Yes,https://www.tandfonline.com/,Not specified,https://www.overleaf.com/latex/templates,Active
Computer Science Journal of Moldova,Vladimir Andrunachievici Institute of Mathematics and Computer Science,2587-4330,Q4 (2024),8,0.189,ENG,Moldova,Anonymous peer review,16 weeks (Average),No Publication Charges,Yes,https://sigmod.org/publications/dblp/db/journals/csjm/csjm16.html,Not specified,Not specified,Active
Acta Informatica Pragensia,Prague University of Economics and Business,1805-4951,Q2 (2024),12,0.454,SLV,Czech Republic,Double anonymous peer review,12 weeks (Average),Potential APC found (Flagged),Diamond OA,https://aip.vse.cz/,Not specified,https://wos-journal.info/journalid/24048,Active
Computer Science and Information Systems,ComSIS Consortium,2406-1018,Q4 (2024),35,0.363,ENG,Serbia,Peer review (Unspecified),30 weeks (Average),No Publication Charges,Yes,https://eric.ed.gov/?id=EJ895873,Not specified,Not specified,Active
Scientific Annals of Computer Science,Alexandru Ioan Cuza University of Iasi,2248-2695,Q4 (2024),12,0.196,ENG,Romania,Anonymous peer review,20 weeks (Average),No Publication Charges,Hybrid OA,https://www.oalib.com/journal/8264/1,Not specified,Not specified,Active
Journal of Communications Software and Systems,Croatian Communications and Information Society (CCIS),1846-6079,Q3 (2024),21,0.211,ENG,Croatia,Anonymous peer review,8 weeks (Average),No Publication Charges,Yes,Not found,Not specified,Not specified,Active
Logical Methods in Computer Science,Logical Methods in Computer Science e.V.,1860-5974,Q2 (2024),45,0.334,ENG,Germany,Anonymous peer review,33 weeks (Average),No Publication Charges,CC BY OA,https://lmcs-episciences-org.nproxy.org/,Not specified,https://lists.seas.upenn.edu/pipermail/types-announce/2020/009029.html,Active
Journal of Computational Geometry,Carleton University,1920-180X,Q3 (2024),9,0.325,ENG,Canada,Anonymous peer review,52 weeks (Average),No Publication Charges,Yes,https://users.monash.edu/~davidwo/papers/DW18.pdf,Not specified,Not specified,Active
Bayesian Analysis,International Society for Bayesian Analysis,1931-6690,Q1 (2024),70,1.543,ENG,United States,Peer review,24 weeks (Average),No Publication Charges,Yes,https://projecteuclid.org/journals/bayesian-analysis/volume-7/issue-2/Objective-Bayesian-Analysis-of-a-Measurement-Error-Small-Area-Model/10.1214/12-BA712.full,Not specified,https://journal.uin-alauddin.ac.id/index.php/msa/article/view/56315,Active
Journal of Formalized Reasoning,University of Bologna,1972-5787,Not found,Not found,0.000,ENG,Not found,Not specified,0 weeks (Average),No Publication Charges,Yes,https://jfr.unibo.it/,Not specified,https://scispace.com/formats/universita-di-bologna/journal-of-formalized-reasoning/b39d1395df184f93ba15f3d4e5c8cfb2,Active
EAI Endorsed Transactions on Energy Web,European Alliance for Innovation (EAI),2032-944X,Q4 (2024),18,0.204,ENG,Belgium,Double anonymous peer review,10 weeks (Average),No Publication Charges,Hybrid OA,https://eudl.eu/journal/ew,Not specified,https://safertea.eai-conferences.org/2026/call-for-papers/,Active
Computational Visual Media,SpringerOpen,2096-0662,Q1 (2024),5,0.178,ENG,United States,Single-blind peer review,6 weeks (Average),No Publication Charges,Open Access (Unspecified),https://cg.cs.tsinghua.edu.cn/cvmj/,Not specified,https://scispace.com/formats/american-psychological-association/american-psychologist/da26907db3394642aac30a3b062b3d57,Active
Big Data Mining and Analytics,Tsinghua University Press,,Q1 (2024),48,1.458,ENG,China,Peer review (Unspecified),8 weeks (Average),Verified 0 / No APC,Fully OA,https://scholar9.com/journal/662f49c218b87930cf01ba52-2321,Not specified,Not specified,Active
Journal of Data and Information Science,Sciendo,2543-683X,Q2 (2024),23,0.625,ENG,Poland,Anonymous peer review,15 weeks (Average),Potential APC found (Flagged),CC BY OA,https://www.j-jdis.com/EN/column/column9.shtml,Not specified,Not specified,Active
Image Processing On Line,Image Processing On Line,2105-1232,Q4 (2024),17,0.297,ENG,France,Peer review (Unspecified),16 weeks (Average),Potential APC found (Flagged),Yes,https://sites.google.com/site/jeanmichelmorelcmlaenscachan/image-processing-on-line,Not specified,https://scholar.xjtu.edu.cn/en/publications/imaged-wear-debris-separation-for-on-line-monitoring-using-gray-l/,Active
Vietnam Journal of Computer Science,World Scientific Publishing,2196-8896,Q3 (2024),13,0.272,ENG,Singapore,Anonymous peer review,13 weeks (Average),No Publication Charges,Fully OA,https://researchportal.port.ac.uk/en/publications/a-novel-technique-for-solving-fully-fuzzy-nonlinear-systems-based/,Not specified,Not specified,Active
Foundations of Computing and Decision Sciences,Sciendo,2300-3405,Q4 (2024),20,0.249,ENG,Germany,Single-blind peer review,29 weeks (Average),Potential APC found (Flagged),Diamond OA,https://reference-global.com/issue/FCDS/49/3,Not specified,https://pprai24.mini.pw.edu.pl/en/submission.html,Active
Neutrosophic Sets and Systems,University of New Mexico,2331-608X,Not found,Not found,0.000,English,United States,Double-blind peer review,7 weeks (Average),No Publication Charges,CC BY OA,https://fs.unm.edu/NSS/,Not specified,Not specified,Flagged: Inactive/Archived
Electronic Journal of Graph Theory and Applications,"Indonesian Combinatorial Society (InaCombS); Graph Theory and Applications (GTA) Research Centre; University of Newcastle, Australia; Institut Teknologi Bandung (ITB), Indonesia",,Q3 (2024),13,0.478,ENG,Indonesia,Peer review,52 weeks (Average),No Publication Charges,Yes,https://www.research-collection.ethz.ch/entities/journal/a80d5f4a-bf9c-4937-b68e-6e962575f7f6,Not specified,Not specified,Active
Ledger,"University Library System, University of Pittsburgh",2379-5980,Q3 (2024),11,0.226,ENG,United States,"Anonymous peer review, Open peer review",40 weeks (Average),No Publication Charges,Yes,https://ledgerjournal.org/,Not specified,https://www.overleaf.com/latex/templates/ledger-submission-template/tqyvgtpcgtzf,Active
International Journal of Serious Games,Serious Games Society,2384-8766,Q2 (2024),19,0.500,ENG,Italy,Double anonymous peer review,12 weeks (Average),No Publication Charges,CC BY OA,https://journal-seriousgamessociety-org.nproxy.org/index.php/IJSG/issue/current,Not specified,Not specified,Active
Journal of Creative Music Systems,University of Huddersfield Press,2399-7656,Q2 (2024),47,0.235,ENG,United Kingdom,Peer review (Unspecified),12 weeks (Average),Verified 0 / No APC,Yes,https://journalseeker.com/journal.php?q=journal+of+creative+music+systems,Not specified,Not specified,Active
Supercomputing Frontiers and Innovations,Publishing center of the South Ural State University,2313-8734,Q3 (2024),21,0.357,ENG,Russian Federation,Anonymous peer review,12 weeks (Average),No Publication Charges,Yes,Not found,Not specified,Not specified,Active
Jordanian Journal of Computers and Information Technology,Scientific Research Support Fund of Jordan (SRSF) and Princess Sumaya University for Technology (PSUT),2415-1076,Q4 (2024),16,0.268,ENG,Jordan,Peer review,16 weeks (Average),No Publication Charges,Yes,https://doaj.org/toc/2415-1076,Not specified,https://wos-journal.info/journalid/23415,Active
"Visual Computing for Industry, Biomedicine, and Art",SpringerOpen,2524-4442,Q1 (2024),29,1.188,ENG,Germany,Anonymous peer review,5 weeks (Average),No Publication Charges,Yes,https://researcher.life/journal/visual-computing-for-industry-biomedicine-and-art/20284,Not specified,https://scispace.com/formats/springer-nature/visual-computing-for-industry-biomedicine-and-art/b754d0bb6b4f4e2f908abc364f26c2ba,Active
Data Science and Management,KeAi Communications Co. Ltd.,2666-7649,Q1 (2024),301,3.443,ENG,China,Double anonymous peer review,12 weeks (Average),No Publication Charges,Yes,https://www.worldscientific.com/doi/abs/10.1142/S0219622006002258,Not specified,Not specified,Active
Journal of Social Computing,Tsinghua University Press,2688-5255,Q2 (2024),14,0.301,ENG,China,Anonymous peer review,8 weeks (Average),No Publication Charges,Fully OA,https://www.bu.edu/archaeology/2022/02/28/david-carballo-publishes-in-journal-of-social-computing/,Not specified,https://www.scirp.org/reference/referencespapers?referenceid=3928382,Flagged: Inactive/Archived
Atom Indonesia,"Center for Development of Nuclear Informatics, National Nuclear Energy Agency (BATAN)",,Q3 (2024),15,0.346,ENG,Indonesia,Double anonymous peer review,16 weeks (Average),No Publication Charges,Yes,https://www.antaranews.com/berita/3413595/siwabessy-bapak-atom-indonesia-dari-maluk,Not specified,https://publikasi.abidan.org/index.php/educative/article/view/823,Active
Materiales de Construccion,Consejo Superior de Investigaciones Científicas,1988-3226,Q4 (2024),47,0.478,SPA,Spain,Double anonymous peer review,48 weeks (Average),No Publication Charges,Yes,https://localitybiz.es/murcia/venta-de-materiales-de-construcción-en-murcia,Not specified,Not specified,Active
Nucleus,Centro de Gestión de la Información y Desarrollo de la Energía (CUBAENERGIA),2075-5635,Q2 (2024),62,2.554,ENG,United States,Anonymous peer review,19 weeks (Average),No Publication Charges,Yes,https://github.com/SplitScreen-Me/splitscreenme-nucleus/releases?ref=dtf.ru,Not specified,https://nucleus-resources.s3.amazonaws.com/Convince+Your+Boss+Web.pdf,Active
Journal of Engineering and Applied Science,SpringerOpen,2536-9512,Q2 (2024),31,0.539,ENG,Germany,Anonymous peer review,9 weeks (Average),No Publication Charges,Yes,https://dergipark.org.tr/en/pub/ijeas/issue/95526/1597895,Not specified,Not specified,Active
Electronics,University of Banja Luka,2831-0128,Q3 (2024),12,0.140,Not found,Bosnia and Herzegovina,Peer review (Unspecified),20 weeks (Average),Potential APC found (Flagged),Open Access (Unspecified),https://www.letpub.com/index.php?page=journalapp&view=detail&journalid=3090&showlang=&currentcommentpage=1,Not specified,https://www.mdpi.com/journal/electronics/instructions,Active
Materials Research,Associação Brasileira de Metalurgia e Materiais (ABM); Associação Brasileira de Cerâmica (ABC); Associação Brasileira de Polímeros (ABPol),,Q3 (2024),79,0.292,ENG,Brazil,Peer review,36 weeks (Average),No Publication Charges,Yes,https://materials.ucsb.edu/people/faculty/ananya-renuka-balakrishna,Not specified,https://indiaarouri415k5v.wixsite.com/blactuhomen/post/ieee-latex-template,Active
Nuclear Engineering and Technology,Elsevier,,Q1 (2024),75,0.638,ENG,South Korea,Anonymous peer review,32 weeks (Average),No Publication Charges,Open Access (Unspecified),https://pure.bit.edu.cn/en/publications/study-on-failure-mechanism-of-line-contact-structures-of-nuclear--2,Not specified,Not specified,Active
Telfor Journal,"Telecommunications Society, Academic Mind",2334-9905,Q3 (2024),10,0.118,ENG,Serbia,Peer review (Unspecified),23 weeks (Average),Potential APC found (Flagged),Open Access (Unspecified),https://journal.telfor.rs/Public/Home.aspx,Not specified,https://journal.telfor.rs/Public/TFJn_Papers_Instructions.doc,Active
Problems of the Regional Energetics,Academy of Sciences of Moldova,,Q4 (2024),7,0.139,ENG; RUM; RUS,Moldova,Anonymous peer review,8 weeks (Average),No Publication Charges,Yes,https://press.utm.md/index.php/pre,Not specified,Not specified,Active
Journal of Information Policy,Pennsylvania State University,2158-3897,Q3 (2024),18,0.264,ENG,United States,Double-blind peer review,8 weeks (Average),No Publication Charges,Yes,http://listserv.aoir.org/pipermail/air-l-aoir.org/2012-January/025159.html,Not specified,Not specified,Active
"Journal of Microwaves, Optoelectronics and Electromagnetic Applications",Sociedade Brasileira de Microondas e Optoeletrônica; Sociedade Brasileira de Eletromagnetismo,2179-1074,Q4 (2024),24,0.171,ENG; POR,Brazil,Peer review,24 weeks (Average),No Publication Charges,Yes,https://www.scielo.br/j/jmoea/,Not specified,https://pdfcookie.com/documents/jmoe-template-8v44k457e1vg,Active
Journal of Modern Power Systems and Clean Energy,IEEE,2196-5420,Q1 (2024),89,2.175,ENG,China,Anonymous peer review,13 weeks (Average),No Publication Charges,CC BY OA,https://exaly.com/journal/24965/journal-of-modern-power-systems-and-clean-energy,Not specified,Not specified,Active
Computer Assisted Methods in Engineering and Science,Institute of Fundamental Technological Research Polish Academy of Sciences,2956-5839,Q4 (2024),15,0.298,ENG,Poland,Anonymous peer review,26 weeks (Average),No Publication Charges,Yes,Not found,Not specified,Not specified,Active
Archives of Metallurgy and Materials,Polish Academy of Sciences,2300-1909,Q4 (2024),39,0.215,ENG,Poland,Anonymous peer review,24 weeks (Average),No Publication Charges,Yes,https://journals.pan.pl/dlibra/publication/136375/edition/119248/content,Not specified,Not specified,Active
Journal of Operation and Automation in Power Engineering,University of Mohaghegh Ardabili,,Q3 (2024),15,0.392,ENG,Iran,Peer review,20 weeks (Average),No Publication Charges,Yes,https://joape.uma.ac.ir/?_action=article&sb=35&_sb=Electric+Mechinces+&amp;+Drive,Not specified,Not specified,Active
EAI Endorsed Transactions on Industrial Networks and Intelligent Systems,European Alliance for Innovation (EAI),2410-0218,Q3 (2024),16,0.371,ENG,Belgium,Double anonymous peer review,10 weeks (Average),No Publication Charges,Open Access (Unspecified),https://eudl.eu/issue/inis/11/4,Not specified,https://researcher.life/journal/eai-endorsed-transactions-on-industrial-networks-and-intelligent-systems/23808,Active
Journal of Science: Advanced Materials and Devices,Elsevier,2468-2179,Q2 (2024),69,1.057,ENG,Netherlands,Double anonymous peer review,13 weeks (Average),No Publication Charges,Open Access (Unspecified),https://research.knu.ac.kr/en/publications/oxygen-migration-energy-in-la-and-y-co-doped-ceosub2sub-effect-of/,Not specified,https://scispace.com/formats/springer/tandartspraktijk/eedcffa199804be48eed1d2ab9f97107,Active
Clean Energy,Oxford University Press,2515-396X,Q3 (2024),35,0.878,ENG,United Kingdom,Double anonymous peer review,10 weeks (Average),No Publication Charges,Yes,https://insideclimatenews.org/news/28072022/inside-clean-energy-solar-windows/,Not specified,Not specified,Active
IACR Transactions on Symmetric Cryptology,Ruhr-Universität Bochum,2519-173X,Q2 (2024),32,0.649,ENG,Germany,Double-blind peer review,12 weeks (Average),No Publication Charges,Diamond OA,https://tosc.iacr.org/,Not specified,https://tosc.iacr.org/Submission,Active
Journal for Peace and Nuclear Disarmament,Taylor & Francis Group,2575-1654,Q2 (2024),14,0.261,ENG,United Kingdom,Double anonymous peer review,12 weeks (Average),No Publication Charges,Yes,https://www.tandfonline.com/toc/rpnd20/7/2?nav=tocList,Not specified,Not specified,Active
International Journal for Computational Civil and Structural Engineering,Publishing House ASV,2588-0195,Q4 (2024),8,0.223,ENG,Russian Federation,Peer review (Unspecified),4 weeks (Average),Potential APC found (Flagged),Hybrid OA,https://ijccse.iasv.ru/index.php/IJCCSE/en,Not specified,Not specified,Active
International Journal of Extreme Manufacturing,IOP Publishing,2631-7990,Q1 (2024),73,4.098,ENG,United Kingdom,Anonymous peer review,9 weeks (Average),No Publication Charges,Yes,http://www.ijemnet.com/en/article/2025/5,Not specified,Not specified,Active
Journal of Electromagnetic Engineering and Science,The Korean Institute of Electromagnetic Engineering and Science,2671-7263,Q4 (2024),23,0.414,ENG,South Korea,Anonymous peer review,10 weeks (Average),No Publication Charges,Yes,https://www.jees.kr/journal/CitedBy.php?number=3218,Not specified,Not specified,Active
