,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_n_estimators,state
67,67,0.9978555566603692,2026-06-25 19:54:37.733006,2026-06-25 19:54:41.647289,0 days 00:00:03.914283,18,1,96,COMPLETE
68,68,0.9962528086204532,2026-06-25 19:54:41.647803,2026-06-25 19:54:48.263511,0 days 00:00:06.615708,16,6,276,COMPLETE
69,69,0.9973213073137306,2026-06-25 19:54:48.264037,2026-06-25 19:54:53.983784,0 days 00:00:05.719747,18,2,227,COMPLETE
70,70,0.9978555566603692,2026-06-25 19:54:53.984306,2026-06-25 19:54:58.827303,0 days 00:00:04.842997,17,1,141,COMPLETE
71,71,0.9973213073137306,2026-06-25 19:54:58.827829,2026-06-25 19:55:03.725165,0 days 00:00:04.897336,19,4,179,COMPLETE
72,72,0.9978555566603692,2026-06-25 19:55:03.725690,2026-06-25 19:55:07.918954,0 days 00:00:04.193264,19,3,163,COMPLETE
73,73,0.9962528086204532,2026-06-25 19:55:07.919414,2026-06-25 19:55:12.657083,0 days 00:00:04.737669,20,9,201,COMPLETE
74,74,0.9973213073137306,2026-06-25 19:55:12.657594,2026-06-25 19:55:17.370070,0 days 00:00:04.712476,18,3,187,COMPLETE
75,75,0.9973213073137306,2026-06-25 19:55:17.370522,2026-06-25 19:55:21.623862,0 days 00:00:04.253340,19,4,169,COMPLETE
76,76,0.9978555566603692,2026-06-25 19:55:21.624301,2026-06-25 19:55:25.521885,0 days 00:00:03.897584,17,2,155,COMPLETE
77,77,0.9978555566603692,2026-06-25 19:55:25.522381,2026-06-25 19:55:30.179431,0 days 00:00:04.657050,20,1,180,COMPLETE
78,78,0.9973213073137306,2026-06-25 19:55:30.179936,2026-06-25 19:55:33.976112,0 days 00:00:03.796176,18,2,146,COMPLETE
79,79,0.9978555566603692,2026-06-25 19:55:33.976768,2026-06-25 19:55:38.990614,0 days 00:00:05.013846,19,3,197,COMPLETE
80,80,0.9962528086204532,2026-06-25 19:55:38.991226,2026-06-25 19:55:41.998406,0 days 00:00:03.007180,16,1,116,COMPLETE
81,81,0.9978555566603692,2026-06-25 19:55:41.998910,2026-06-25 19:55:46.290129,0 days 00:00:04.291219,19,2,160,COMPLETE
82,82,0.9978555566603692,2026-06-25 19:55:46.290590,2026-06-25 19:55:50.379816,0 days 00:00:04.089226,18,1,155,COMPLETE
83,83,0.9978555566603692,2026-06-25 19:55:50.380274,2026-06-25 19:55:53.868030,0 days 00:00:03.487756,20,2,130,COMPLETE
84,84,0.9962528086204532,2026-06-25 19:55:53.868602,2026-06-25 19:55:57.886664,0 days 00:00:04.018062,17,10,168,COMPLETE
85,85,0.9973213073137306,2026-06-25 19:55:57.887176,2026-06-25 19:56:03.995810,0 days 00:00:06.108634,19,3,249,COMPLETE
86,86,0.9978555566603692,2026-06-25 19:56:03.996249,2026-06-25 19:56:08.392430,0 days 00:00:04.396181,18,2,175,COMPLETE
87,87,0.9978555566603692,2026-06-25 19:56:08.393019,2026-06-25 19:56:13.256146,0 days 00:00:04.863127,20,1,191,COMPLETE
88,88,0.9608048051547324,2026-06-25 19:56:13.256717,2026-06-25 19:56:15.578904,0 days 00:00:02.322187,3,4,139,COMPLETE
89,89,0.9967870579670919,2026-06-25 19:56:15.579426,2026-06-25 19:56:19.102580,0 days 00:00:03.523154,18,6,146,COMPLETE
90,90,0.9967870579670919,2026-06-25 19:56:19.103076,2026-06-25 19:56:22.965992,0 days 00:00:03.862916,15,2,160,COMPLETE
91,91,0.9978555566603692,2026-06-25 19:56:22.966440,2026-06-25 19:56:30.179037,0 days 00:00:07.212597,19,1,287,COMPLETE
92,92,0.9973213073137306,2026-06-25 19:56:30.179499,2026-06-25 19:56:35.395533,0 days 00:00:05.216034,17,1,217,COMPLETE
93,93,0.9978555566603692,2026-06-25 19:56:35.396040,2026-06-25 19:56:38.551421,0 days 00:00:03.155381,18,1,122,COMPLETE
94,94,0.9962528086204532,2026-06-25 19:56:38.551877,2026-06-25 19:56:45.454908,0 days 00:00:06.903031,19,7,227,COMPLETE
95,95,0.9973213073137306,2026-06-25 19:56:45.455413,2026-06-25 19:56:50.195277,0 days 00:00:04.739864,18,3,184,COMPLETE
96,96,0.9978555566603692,2026-06-25 19:56:50.195707,2026-06-25 19:56:55.538262,0 days 00:00:05.342555,20,2,207,COMPLETE
97,97,0.9978555566603692,2026-06-25 19:56:55.538773,2026-06-25 19:56:59.489518,0 days 00:00:03.950745,17,1,152,COMPLETE
98,98,0.9978555566603692,2026-06-25 19:56:59.490045,2026-06-25 19:57:06.272263,0 days 00:00:06.782218,19,1,265,COMPLETE
99,99,0.9967870579670919,2026-06-25 19:57:06.272790,2026-06-25 19:57:10.495231,0 days 00:00:04.222441,16,2,166,COMPLETE
