wall_type,roof_type,bed_net_available,bed_net_used_last_night,proximity_water_body_m,household_size,education_head,income_level,eave_open,floor_type,num_windows_screened,target
Concrete,Thatch,0,0,404.03133680497996,13,None,Middle,1,Cement,0,1
Wood,Concrete,1,1,368.44967847605227,15,Tertiary,Middle,1,Cement,2,0
Brick,Tile,0,1,1787.9794200157407,6,Primary,Middle,1,Earth,2,0
Concrete,Tile,0,1,1308.5851046499238,4,Primary,Low,1,Tile,1,0
Wood,Tile,1,0,304.20856644454574,11,Secondary,Middle,0,Cement,6,0
Mud,Tile,0,0,880.646836736698,9,Primary,Middle,0,Cement,0,1
Brick,Thatch,1,1,1230.5960501396041,6,Tertiary,High,1,Earth,3,0
Wood,Thatch,0,1,166.9281699787666,4,Tertiary,Low,1,Earth,3,1
Mud,Iron Sheet,1,1,1764.8327368146774,12,Secondary,Low,1,Tile,4,0
Wood,Iron Sheet,1,1,1607.2070708830704,3,Tertiary,Low,0,Earth,2,0
Mud,Tile,1,0,1010.4135471532765,4,None,Low,1,Cement,2,1
Brick,Tile,0,1,1934.2532305183408,3,None,Middle,1,Cement,0,0
Concrete,Tile,0,0,835.5219585501994,15,Tertiary,Middle,1,Cement,5,0
Mud,Iron Sheet,1,0,1968.2206380729956,2,Secondary,High,1,Cement,3,0
Wood,Concrete,1,1,1335.8399976072542,14,Primary,High,0,Tile,4,0
Brick,Concrete,0,1,1269.3425465078828,5,Secondary,Low,1,Tile,0,0
Mud,Iron Sheet,0,1,331.90979059157,2,Primary,High,1,Earth,2,1
Wood,Iron Sheet,0,0,1763.8555166092879,6,Tertiary,High,0,Earth,3,0
Wood,Iron Sheet,1,1,854.9793758412303,3,Tertiary,Low,1,Earth,6,0
Wood,Iron Sheet,0,1,324.46681156495873,6,None,Low,1,Tile,4,1
Mud,Iron Sheet,0,0,25.21503995151808,15,Primary,High,0,Cement,1,1
Mud,Iron Sheet,1,1,1119.5113672767652,11,Secondary,Middle,0,Earth,3,1
Mud,Tile,0,0,1054.7992442453526,10,Tertiary,High,0,Cement,4,0
Concrete,Tile,0,1,1438.707244738317,9,Secondary,High,1,Earth,0,0
Mud,Tile,0,0,1780.5161060356043,1,None,Middle,1,Earth,1,1
Mud,Tile,1,1,158.81316928605904,6,Primary,Middle,0,Earth,4,1
Mud,Iron Sheet,1,1,1462.9929806807247,9,Primary,Low,0,Earth,4,0
Concrete,Concrete,1,0,374.82388819516444,11,Tertiary,Low,0,Earth,2,1
Mud,Thatch,1,0,1716.354106314328,4,Primary,High,1,Cement,5,1
Wood,Iron Sheet,1,1,1638.1270277233123,11,Tertiary,Middle,1,Earth,3,0
Mud,Thatch,1,0,1081.5875099710888,12,None,Low,0,Cement,2,1
Wood,Concrete,1,0,1420.485597246623,2,Primary,High,1,Tile,6,0
Wood,Tile,0,0,628.7002263674968,13,Tertiary,Middle,0,Earth,1,1
Wood,Concrete,0,0,942.3357978656293,4,Secondary,High,1,Cement,5,0
Concrete,Iron Sheet,1,1,1643.2737954209433,1,Tertiary,Low,1,Tile,4,0
Concrete,Tile,0,1,918.5303943464278,3,Primary,Low,1,Tile,2,1
Concrete,Iron Sheet,0,0,715.5965306508836,10,None,Middle,1,Tile,5,1
Mud,Tile,1,0,988.4248945005997,9,Primary,High,0,Cement,6,0
Wood,Thatch,0,0,1656.4985048744368,10,Primary,Middle,1,Earth,3,1
Concrete,Thatch,0,0,670.4160947417455,5,Tertiary,Low,1,Earth,6,1
Concrete,Thatch,0,1,347.5231862714876,15,Secondary,Low,0,Cement,1,1
Mud,Concrete,0,1,1424.0280406615616,11,Primary,High,1,Earth,0,1
Concrete,Iron Sheet,0,0,1651.9564254161637,6,Secondary,High,0,Cement,2,0
Mud,Concrete,1,0,201.27495704706666,3,Tertiary,High,0,Earth,1,1
Brick,Thatch,1,0,479.7482255118895,5,Secondary,Middle,1,Tile,0,1
Concrete,Iron Sheet,1,1,283.9439795219878,11,Tertiary,High,1,Earth,2,0
Brick,Thatch,0,0,695.8828231643332,8,None,High,0,Cement,1,1
Mud,Concrete,1,1,900.7019578108253,6,Secondary,Low,0,Cement,6,0
Wood,Concrete,0,0,1497.652673926613,4,Secondary,Low,0,Tile,1,1
Concrete,Concrete,0,1,1302.2951697633482,2,None,High,1,Cement,5,0
Mud,Thatch,0,0,1241.8571349568624,14,Secondary,High,0,Earth,6,1
Wood,Iron Sheet,0,1,704.7498932193088,9,None,Low,0,Earth,2,1
Wood,Iron Sheet,1,0,1682.89510616952,13,Primary,High,0,Tile,1,0
Brick,Thatch,1,0,942.5743347963291,12,Tertiary,Middle,1,Cement,4,0
Mud,Iron Sheet,0,0,1958.209876030309,1,None,Middle,0,Tile,2,0
Wood,Thatch,1,1,1268.2842765914736,1,Secondary,Middle,1,Earth,1,0
Concrete,Iron Sheet,0,0,252.52948312900548,13,None,High,1,Tile,5,1
Concrete,Tile,1,1,1352.355124150868,4,Secondary,Low,0,Cement,0,0
Brick,Tile,1,1,650.208030863398,7,Primary,High,1,Tile,0,0
Wood,Concrete,0,0,1372.6543933721948,1,None,High,0,Cement,4,0
Mud,Tile,1,0,139.28229632481148,9,Primary,Low,1,Cement,2,1
Concrete,Tile,0,0,349.76287435191875,4,Tertiary,Low,1,Earth,5,1
Wood,Tile,1,1,1711.4745178115727,3,Secondary,Low,0,Earth,1,0
Wood,Thatch,0,0,454.3591140470298,1,Secondary,Middle,0,Earth,1,0
Brick,Tile,0,1,1674.0822504858802,10,Primary,High,0,Cement,0,0
Concrete,Tile,1,1,558.5521769088209,4,Tertiary,Low,1,Tile,5,0
Concrete,Concrete,1,0,1285.7638201174152,9,None,High,1,Cement,6,0
Mud,Tile,0,0,1388.301147019662,13,None,Middle,0,Earth,4,1
Concrete,Tile,1,0,1025.309506290106,14,Secondary,Middle,0,Earth,0,1
Mud,Iron Sheet,1,0,610.6213533934625,10,Primary,Low,1,Tile,0,1
Concrete,Concrete,0,0,425.28875274219223,6,Primary,Low,1,Earth,4,1
Brick,Concrete,0,0,66.37870912485243,6,None,High,1,Earth,2,1
Concrete,Concrete,1,1,607.8928024814476,1,Tertiary,Low,0,Earth,1,0
Mud,Concrete,0,1,1306.325581062566,10,Tertiary,High,1,Tile,2,0
Mud,Concrete,0,1,1876.6096368969654,2,None,Low,0,Cement,5,0
Brick,Concrete,0,0,1742.408964526104,11,None,High,1,Earth,6,0
Concrete,Thatch,1,1,1532.1295530706052,6,Primary,High,1,Tile,3,0
Concrete,Tile,1,1,1576.8946865065973,2,Tertiary,High,0,Earth,3,0
Brick,Concrete,0,1,1329.9698069519904,3,None,High,0,Tile,3,0
Concrete,Tile,1,1,520.573715132006,4,None,Middle,0,Earth,4,0
Concrete,Tile,0,1,1814.3900614116596,11,Secondary,High,1,Tile,0,0
Mud,Thatch,1,0,1341.4646238116682,5,None,Low,1,Earth,6,1
Concrete,Concrete,0,0,1120.8812619608798,15,None,Middle,1,Cement,2,0
Concrete,Iron Sheet,0,1,221.97893842696215,9,Tertiary,Middle,0,Earth,1,0
Brick,Thatch,1,1,894.1110876128508,12,Primary,High,1,Tile,3,0
Brick,Iron Sheet,0,1,920.7165424038526,15,Tertiary,Middle,0,Earth,2,0
Wood,Tile,1,0,1729.1272190453399,15,Primary,High,0,Cement,3,0
Mud,Tile,1,0,1093.296440375577,4,Secondary,Low,0,Earth,6,1
Concrete,Thatch,0,1,760.8010979408193,13,None,High,1,Tile,3,0
Concrete,Thatch,0,0,1953.6006570213187,11,Secondary,Middle,1,Tile,1,0
Wood,Iron Sheet,1,0,221.44118665263136,9,Primary,Low,0,Cement,5,1
Concrete,Concrete,0,1,845.0968566238893,11,Tertiary,High,1,Tile,5,0
Mud,Iron Sheet,0,0,84.04935034281058,10,Tertiary,Low,0,Earth,6,1
Wood,Thatch,0,0,1479.8082415338606,3,Secondary,Low,0,Earth,5,1
Mud,Iron Sheet,0,1,1836.1531043983014,8,Primary,Middle,1,Earth,4,0
Wood,Thatch,0,0,560.0746591009789,12,Secondary,Low,0,Tile,0,1
Wood,Iron Sheet,1,0,1716.6833535982419,1,Secondary,Middle,0,Earth,4,0
Brick,Thatch,1,1,584.4364609237955,11,None,Low,1,Earth,2,1
Mud,Thatch,0,0,1821.5403232878305,9,Secondary,High,0,Earth,4,0
Concrete,Thatch,0,0,1507.9238071935679,9,None,Low,0,Cement,2,1
Concrete,Concrete,0,1,1609.8135536828772,10,None,High,0,Tile,2,0
Mud,Iron Sheet,1,1,36.013111200908995,2,Tertiary,High,0,Tile,0,1
Concrete,Iron Sheet,0,1,1925.620714148052,4,None,Low,0,Tile,1,0
Concrete,Iron Sheet,1,0,1453.3419841406464,13,None,High,0,Cement,6,0
Mud,Thatch,1,1,609.5021907722667,8,Tertiary,Low,0,Tile,0,0
Wood,Iron Sheet,1,0,1658.7893297176938,7,Secondary,Low,1,Cement,6,0
Mud,Iron Sheet,0,1,563.0423968298599,1,Primary,High,1,Cement,5,0
Wood,Thatch,1,0,1745.5076791322558,5,Primary,High,0,Tile,5,0
Concrete,Tile,0,1,225.16078082387403,7,Primary,Middle,0,Earth,4,0
Concrete,Thatch,1,1,1407.3719549215914,15,Secondary,High,1,Earth,2,0
Concrete,Iron Sheet,0,1,1081.3969532898207,4,None,Middle,1,Tile,3,0
Brick,Thatch,1,1,193.06894039088164,15,Primary,High,1,Tile,3,0
Wood,Tile,0,0,483.787656517678,15,Secondary,Low,1,Cement,6,1
Brick,Thatch,1,1,24.80807255462958,1,None,High,1,Tile,2,0
Brick,Iron Sheet,0,1,937.5359309290117,9,Tertiary,Low,0,Cement,6,0
Mud,Tile,0,0,602.5305215200008,14,Primary,Low,1,Tile,0,1
Brick,Concrete,0,1,1196.7149685955176,5,None,Low,1,Earth,1,1
Mud,Iron Sheet,0,0,594.4756154172344,11,Primary,Middle,1,Earth,0,1
Mud,Tile,1,1,599.8382230139694,2,Primary,High,0,Tile,2,0
Brick,Tile,1,1,1486.3863974632068,8,Primary,Low,0,Cement,2,0
Wood,Concrete,0,1,96.28567195670689,11,None,Low,0,Earth,1,1
Wood,Thatch,1,0,1805.7899903839746,13,Secondary,Middle,0,Cement,6,0
Wood,Thatch,0,1,1704.527748782363,2,None,High,0,Tile,4,0
Wood,Iron Sheet,0,1,1335.609366452813,3,Primary,High,0,Tile,4,0
Wood,Concrete,1,1,1186.4431402147686,14,None,Middle,1,Earth,1,1
Brick,Thatch,0,0,1784.6049962793045,10,Tertiary,Middle,0,Tile,4,0
Brick,Concrete,0,0,370.6603590574289,1,Secondary,High,0,Earth,3,1
Concrete,Thatch,1,1,157.93832438165722,11,None,Middle,1,Cement,4,0
Wood,Tile,0,0,479.0203398190762,2,Tertiary,High,0,Earth,4,0
Brick,Thatch,0,1,1589.1565574003805,14,Secondary,High,1,Earth,4,0
Concrete,Concrete,0,1,69.34053345296664,7,Tertiary,Low,1,Cement,3,1
Wood,Tile,0,1,1165.6136701669793,10,Secondary,Low,0,Earth,6,0
Mud,Tile,1,1,1990.8750323826198,2,None,High,1,Earth,4,0
Concrete,Tile,1,1,1711.3921876750787,6,Tertiary,High,1,Tile,5,0
Brick,Concrete,1,1,1042.891378087179,15,Primary,High,1,Cement,3,0
Mud,Iron Sheet,0,1,127.28181857328468,3,Tertiary,High,1,Earth,1,0
Mud,Iron Sheet,0,0,1662.7470287714198,4,Secondary,High,0,Cement,0,0
Mud,Iron Sheet,1,0,1197.957016354421,11,None,High,1,Cement,1,0
Concrete,Concrete,0,0,229.86599411913366,15,Secondary,Middle,0,Earth,0,1
Brick,Tile,0,0,187.7145696467124,13,Tertiary,High,1,Tile,1,0
Mud,Iron Sheet,0,0,1819.2536388731849,8,Tertiary,Middle,1,Cement,5,0
Wood,Concrete,0,0,1338.400525876157,14,Primary,Middle,1,Earth,0,1
Mud,Iron Sheet,1,0,1658.573598633511,3,None,High,0,Cement,0,0
Mud,Thatch,1,1,1757.9578005645346,10,None,High,0,Tile,2,0
Concrete,Iron Sheet,1,1,1143.5447040966444,6,Tertiary,Middle,0,Tile,0,0
Concrete,Iron Sheet,0,1,1034.8927035100826,1,None,Middle,1,Tile,0,0
Brick,Tile,1,1,860.8548206419804,7,Primary,High,1,Earth,2,0
Wood,Concrete,1,0,633.8931755822385,8,Secondary,High,1,Earth,4,0
Concrete,Tile,0,0,869.1919217174235,11,None,Middle,1,Tile,4,0
Mud,Tile,0,1,1547.7593114603128,14,Tertiary,Middle,0,Earth,2,0
Brick,Tile,1,1,1203.846862030263,8,Secondary,Middle,1,Tile,3,0
Mud,Tile,1,0,1785.0465799096921,3,Secondary,Low,0,Earth,0,1
Mud,Tile,1,1,886.7600287583755,14,Primary,Middle,1,Tile,0,1
Concrete,Iron Sheet,1,1,1214.1791574375081,10,Tertiary,Low,0,Cement,2,0
Brick,Tile,0,1,1262.6151061839773,1,None,High,0,Tile,2,0
Wood,Tile,1,1,1183.394324612651,9,Tertiary,High,1,Tile,3,0
Wood,Concrete,1,0,1405.2675461710326,13,Secondary,Middle,1,Earth,5,0
Concrete,Thatch,0,1,474.86693674961253,6,Tertiary,High,0,Earth,4,0
Concrete,Iron Sheet,1,1,1024.7275550915813,11,None,High,1,Earth,1,0
Brick,Iron Sheet,0,0,208.44960561669535,9,None,High,1,Earth,5,1
Wood,Iron Sheet,0,0,769.022655289625,7,Primary,High,0,Earth,6,1
Wood,Tile,0,1,975.3341372425289,1,None,Low,0,Earth,4,1
Wood,Tile,1,0,1304.448519090945,12,None,Low,0,Cement,0,1
Mud,Tile,1,1,1901.062105172407,12,Tertiary,Middle,0,Tile,6,0
Wood,Concrete,0,1,1201.3021330967117,1,Tertiary,Middle,1,Tile,5,0
Mud,Thatch,1,0,1487.1878323531196,6,Secondary,Middle,0,Tile,2,1
Brick,Tile,1,1,1012.5321189904055,5,Primary,High,0,Cement,3,0
Mud,Thatch,0,1,1268.2080627526627,9,Tertiary,High,0,Tile,4,0
Brick,Concrete,0,1,141.86443226754685,2,None,Low,1,Cement,3,0
Wood,Iron Sheet,1,1,508.78316168369395,8,Secondary,Low,0,Cement,6,0
Wood,Tile,0,0,723.7061864102774,11,Tertiary,Middle,1,Cement,4,0
Brick,Thatch,1,0,944.9867100130272,5,Primary,Low,0,Tile,5,1
Concrete,Thatch,1,1,91.29749100476747,2,Primary,Low,0,Cement,0,0
Brick,Tile,1,0,280.0481951066354,13,Secondary,Low,1,Tile,1,1
Concrete,Iron Sheet,1,1,553.6286155826116,10,Secondary,Low,0,Tile,3,0
Mud,Iron Sheet,0,1,1943.0653818021012,11,Secondary,Low,0,Earth,3,1
Mud,Iron Sheet,0,1,662.6940142061015,11,Secondary,Middle,1,Earth,1,1
Mud,Concrete,0,1,964.082116224165,12,Secondary,Middle,0,Cement,3,1
Wood,Thatch,0,1,392.1954254767859,6,None,Low,0,Cement,3,1
Mud,Thatch,1,0,1221.5601421515364,10,None,Middle,0,Tile,4,1
Concrete,Thatch,1,1,561.3664310319487,8,Tertiary,High,0,Cement,4,0
Mud,Concrete,0,0,413.9851568768536,4,Primary,Low,1,Cement,1,1
Brick,Thatch,1,0,1033.145256891958,2,None,High,0,Tile,6,0
Brick,Concrete,1,1,11.011598320841642,12,None,Middle,1,Cement,0,0
Wood,Iron Sheet,1,1,15.328065298450655,11,None,Middle,0,Cement,5,1
Brick,Tile,0,1,438.13761820371553,5,Tertiary,High,1,Tile,5,0
Concrete,Thatch,0,1,73.44272500164229,15,Secondary,Middle,0,Tile,6,0
Mud,Thatch,0,1,216.05150826138276,12,Tertiary,Low,1,Earth,3,1
Wood,Iron Sheet,1,0,677.7212986775032,2,Primary,High,0,Tile,0,0
Mud,Tile,0,1,1605.1713591596258,2,Primary,Low,1,Earth,1,1
Mud,Concrete,0,1,1144.0972867386017,15,Primary,High,1,Cement,6,0
Concrete,Tile,0,0,1025.335451912833,6,Primary,Middle,0,Tile,1,1
Brick,Iron Sheet,0,0,586.9776464162433,11,None,High,1,Tile,4,1
Brick,Iron Sheet,0,1,1863.5074388656328,10,None,High,0,Tile,3,0
Mud,Tile,0,0,794.0300824743833,9,Tertiary,Low,0,Cement,2,0
Wood,Concrete,1,1,174.185533591543,13,Secondary,Middle,0,Earth,1,1
Brick,Concrete,1,0,1234.1330322356025,4,Primary,Low,0,Cement,6,0
Wood,Thatch,0,0,227.67678695320282,6,Tertiary,Middle,0,Cement,3,1
Brick,Concrete,0,1,690.4462856033841,7,None,Low,1,Tile,0,0
Wood,Tile,1,0,1014.8238774356178,13,None,High,0,Earth,6,0
Concrete,Iron Sheet,1,0,1748.4450493703516,11,Secondary,Low,0,Cement,4,1
Wood,Thatch,0,0,987.0931606802374,6,Secondary,Middle,0,Tile,5,1
Concrete,Thatch,0,0,1404.5175320633284,8,Secondary,Middle,0,Cement,0,0
Concrete,Iron Sheet,0,0,1985.6336779981407,4,Tertiary,High,0,Cement,1,0
Wood,Concrete,0,0,262.97823979596325,12,None,Middle,0,Tile,1,1
Concrete,Iron Sheet,1,1,549.463051039039,15,None,Low,1,Tile,0,1
Mud,Concrete,0,1,789.1521511952928,1,Secondary,High,1,Earth,1,0
Concrete,Iron Sheet,0,0,843.6563570776627,7,Primary,Middle,0,Cement,6,0
Brick,Tile,0,1,822.0421505310916,3,Secondary,Middle,1,Tile,3,0
Wood,Concrete,0,1,1815.2220051131098,14,Tertiary,Low,0,Tile,1,0
Mud,Tile,1,1,1428.065288933713,6,Secondary,Low,0,Earth,4,0
Wood,Thatch,1,0,1215.8104281814076,2,Secondary,High,0,Earth,3,1
Brick,Iron Sheet,1,1,618.7454357255642,9,Tertiary,Middle,0,Tile,6,0
Brick,Thatch,0,0,1647.5807684425895,1,Secondary,Low,0,Earth,2,0
Brick,Thatch,0,1,1910.121022969978,6,None,High,1,Tile,1,0
Concrete,Thatch,1,0,1642.396565100453,6,Primary,Middle,1,Cement,1,0
Concrete,Thatch,0,0,3.1302103829458083,5,Secondary,Middle,1,Earth,4,1
Wood,Iron Sheet,0,1,1272.802740366814,13,Tertiary,High,1,Cement,6,0
Wood,Thatch,1,1,102.27076288420145,5,Primary,High,0,Cement,4,0
Mud,Iron Sheet,1,0,515.2144406674437,1,Tertiary,Low,1,Cement,5,0
Mud,Iron Sheet,1,1,119.04940069554337,10,Primary,Middle,0,Tile,6,1
Wood,Tile,1,1,1207.5909058987754,12,Primary,Middle,1,Cement,0,1
Concrete,Concrete,0,1,1373.1798269852136,5,Secondary,Middle,1,Cement,0,0
