battery_soc,vehicle_speed_kmh,road_incline_deg,ambient_temp_c,engine_load_pct,altitude_m,trip_duration_min,avg_speed_last_5min,elevation_gain_m,generator_rpm,efficiency_ratio_kwh_per_l,optimal_trigger_soc,generator_active
71.78,117.12,0.02,3.08,82.74,506.18,98.36,127.45,103.23,3945.06,2.5,45.29,0
75.36,114.66,-13.69,33.6,73.38,269.86,89.11,80.76,152.65,3291.52,2.5,59.12,0
12.33,44.91,12.22,43.72,37.54,1375.48,2.22,96.06,239.0,2741.83,2.5,47.09,1
20.35,116.28,-1.5,-5.25,92.52,1214.01,9.55,60.93,496.6,2192.93,2.5436,48.89,1
48.66124021137341,56.82,-8.76,22.65,56.45,580.07,112.47,54.62,333.69,1576.35,2.5973,45.91,0
43.71,42.03,-14.04,27.73,88.32,2383.92,179.81,92.64,438.8,3928.19,2.5,46.93,1
73.44,55.36,-0.62,-2.59,87.33,2450.28,118.29,38.64,206.59,2326.69,2.5965,37.27,0
43.26,92.31,0.11,40.73,26.26,992.38,151.49,7.68,121.61,2021.6,2.5734,38.8,0
70.78,64.12,-4.77,12.03,62.06,18.23,119.53,70.02,121.76,2482.45,2.8845,43.09,0
46.97,88.35,7.2,34.81,55.56,1625.81,160.3,114.06,251.2,3958.54,2.5,45.58,0
23.05,122.7,0.05,-7.1,72.41,2374.59,178.01,101.8,469.33,2441.09,2.6987,46.31,1
53.08,50.3,8.62,2.39,41.4,379.4,80.6,72.1,344.41,2334.09,2.5,48.43,0
86.11,27.37,-9.27,-0.99,43.03,2135.69,164.45,100.16,395.32,2556.51,2.5,44.41,0
5.38,118.07,3.2,36.47,14.24,587.77,17.75,26.35,126.59,1784.97,2.5,46.29,1
74.32,95.68,7.47,0.56,96.77,1388.18,148.24,75.01,81.54,2735.0,2.5,51.0,0
62.62473476516996,124.26,14.28,31.47,46.74,1106.35,30.83,113.5,290.21,2598.93,2.5,59.26,0
61.07,101.12,0.72,10.69,72.25,413.51,166.75,110.06,349.43,1675.8,2.8236,41.7,0
45.85,18.69,-8.93,23.31,49.33,101.35,87.72,96.99,397.85,2708.98,2.7903,42.67,0
47.25,85.02,-4.27,32.49,52.59,606.89,60.05,53.17,470.01,2953.54,2.7195,43.72,0
67.0905211838325,126.4,11.44,-2.92,37.93,653.2,120.86,8.7,251.08,1815.37,2.5,62.17,0
93.47,88.1,-12.78,19.78,46.59,461.19,93.94,127.54,418.16,3614.43,2.5,54.58,0
47.95,48.07,-5.94,43.9,71.0,1432.72,65.33,115.3,444.38,1582.9,2.6067,39.81,0
73.14,68.54,-11.09,22.67,89.81,556.89,176.74,118.92,163.17,1556.53,2.5,50.1,0
36.38,111.98,-1.04,41.15,53.27,1143.14,3.17,50.73,382.92,3034.41,2.6687,41.88,1
15.27,49.84,0.14,39.34,72.94,766.64,104.08,35.98,307.66,2585.89,2.9105,34.39,1
37.23873913129776,0.59,6.95,15.18,80.24,802.58,102.68,28.29,88.44,1863.67,2.7097,36.8,0
57.02,83.8,11.2,40.62,69.84,670.79,45.72,47.81,369.29,2843.77,2.6287,51.77,0
69.47,17.8,2.75,-5.45,96.36,750.09,31.3,51.47,0.17,1731.58,2.5,40.03,0
43.86303920978228,3.39,6.89,-4.35,22.55,1339.98,157.14,55.9,58.6,3624.48,2.5,41.72,0
44.08,44.92,1.71,-5.71,28.71,2349.57,19.91,101.46,449.88,2127.86,2.5,38.82,0
42.20600492403617,116.78,0.67,20.94,63.48,1558.14,30.83,108.69,348.62,3168.15,2.831,41.16,0
38.73,108.56,1.7,2.23,27.2,1688.17,84.22,84.87,458.41,2342.17,2.5,44.3,1
27.24,99.49,-0.16,29.79,50.27,2191.64,133.24,18.3,486.79,1803.91,2.7639,37.29,1
78.86,114.02,-0.65,8.14,44.84,391.68,170.6,96.74,495.05,3225.37,2.5,43.9,0
18.58,124.67,0.17,6.17,21.18,2376.49,153.2,93.51,116.0,2352.28,2.5,41.37,1
58.99,89.47,-11.46,32.5,51.71,1943.61,60.68,87.23,82.97,2966.52,2.5,50.19,0
65.7,73.6,4.67,28.27,56.06,1642.59,147.39,59.46,228.24,3109.66,2.6669,40.81,0
52.157279134936765,111.16,0.41,-7.53,65.06,1179.16,64.75,104.28,458.26,1741.89,2.6946,47.97,0
94.24,125.94,0.63,11.49,63.06,1115.96,35.04,52.89,135.35,3032.76,2.7275,43.06,0
44.1947956705805,123.48,-0.15,-0.33,30.33,2493.69,9.88,113.42,295.49,2926.72,2.5,43.57,0
65.44,119.67,4.65,-7.58,77.99,1261.03,15.67,91.26,354.94,2198.71,2.7101,53.9,0
90.9,0.0,-5.88,-1.9,48.52,2387.45,72.62,0.0,194.71,1624.3,2.5,37.04,0
63.09,75.13,-9.93,25.27,28.37,1623.15,165.13,92.07,99.04,2499.99,2.5,47.34,0
37.4,83.12,-5.53,7.28,60.56,1061.36,43.51,52.74,67.99,3478.6,2.5,45.19,1
86.34,66.87,4.7,6.2,43.49,784.63,154.88,2.49,298.76,1735.38,2.5,43.31,0
56.25813201605286,107.86,8.56,-1.07,85.92,1791.79,107.29,31.05,487.45,2772.09,2.5,53.56,0
78.55,99.84,2.83,8.96,90.64,70.07,113.04,59.77,442.09,3497.18,2.5,45.19,0
64.49,63.07,-3.44,42.12,14.39,2325.3,110.28,7.24,118.42,3357.52,2.5,36.75,0
22.87,0.0,3.43,-9.95,49.14,1277.22,81.64,0.0,323.66,3416.48,2.5,39.54,1
62.07,117.21,0.6,-1.37,85.16,1019.4,38.81,101.52,398.52,2682.3,2.6202,46.75,0
70.12,129.76,0.95,9.1,82.86,186.77,98.45,95.14,123.11,3938.09,2.5,46.1,0
69.49,59.92,12.81,37.37,70.55,1199.0,169.83,76.38,259.86,2732.61,2.7276,49.89,0
34.05,62.81,3.34,9.75,74.29,1025.86,103.02,66.23,368.84,3011.63,2.6214,39.3,1
65.14,16.08,3.18,11.54,49.62,1708.64,32.71,127.23,178.6,1884.03,2.5742,32.25,0
68.7,0.0,2.76,-7.06,16.98,1581.59,34.88,0.0,378.74,3964.92,2.5,36.97,0
33.04,123.76,0.86,12.08,69.8,2456.04,75.75,109.49,443.85,3002.18,2.6891,40.4,1
53.58,0.0,5.76,-8.25,63.22,569.92,111.31,0.0,383.97,3335.11,2.5,43.07,0
49.87728367893966,67.43,9.41,5.49,54.05,1138.41,52.92,102.05,465.69,3786.19,2.5,48.6,0
66.43,0.0,8.77,-4.85,64.68,1978.2,128.33,0.0,278.4,2158.11,2.6047,42.51,0
52.44,93.35,-9.38,14.22,45.31,636.05,68.54,116.28,366.71,3115.85,2.5,50.76,0
91.54,129.92,0.42,15.56,72.04,186.78,174.35,123.98,373.61,1632.75,2.9127,45.12,0
85.1,74.42,0.1,4.97,83.58,1204.17,80.33,127.55,190.76,1579.94,2.6454,38.31,0
69.44,8.24,3.31,39.5,91.88,676.85,138.33,71.33,159.1,2732.37,2.5536,33.57,0
61.85,66.13,-11.04,-7.2,69.84,2267.65,103.56,47.04,262.32,2046.74,2.5547,53.22,0
93.36,78.78,-4.15,14.82,73.02,1515.57,78.44,24.96,135.3,3614.54,2.5116,41.04,0
52.09,19.25,10.88,-5.31,24.18,999.65,8.46,99.6,406.66,3953.34,2.5,49.4,0
79.36,101.52,-11.25,-7.95,27.02,293.54,107.57,67.72,12.61,1928.26,2.5,61.81,0
23.75,120.4,-0.59,10.92,39.3,1295.68,112.75,98.19,400.98,3224.26,2.5,42.01,1
45.74120057122469,31.1,9.26,33.85,75.42,134.52,42.59,32.69,455.78,3486.53,2.5707,44.43,0
21.33,72.54,8.4,41.11,80.09,1853.55,68.7,113.46,218.64,2677.04,2.5308,44.74,1
49.71509838377363,73.62,9.43,10.54,64.63,629.23,84.75,6.69,356.46,1750.49,2.7644,48.55,0
69.93,106.68,-0.07,12.99,60.8,1713.87,147.1,94.96,99.45,2023.71,2.8315,38.97,0
23.5,1.38,-2.74,-6.26,61.52,818.26,33.61,10.83,72.57,2894.13,2.5621,38.31,1
53.83,87.12,5.24,4.64,19.12,636.76,49.53,88.55,89.4,2650.83,2.5,47.21,0
39.42477303269386,44.5,-5.89,28.36,83.89,1448.61,122.29,31.85,489.03,2865.34,2.6175,39.31,0
55.78,75.29,4.75,13.18,14.31,307.53,70.18,119.49,16.33,3481.32,2.5,43.77,0
5.81,112.19,-11.29,17.62,71.09,777.43,122.35,112.18,74.09,2319.25,2.8799,54.94,1
56.37989518339518,94.86,7.26,-7.6,63.59,924.0,50.01,59.53,447.18,3643.84,2.5,54.85,0
5.07,31.56,-1.13,-5.0,15.28,804.27,123.75,12.24,237.25,3724.22,2.5,39.39,1
46.17,25.47,-8.78,18.66,80.44,1668.54,13.66,81.98,424.34,1505.02,2.5803,40.14,0
94.0,42.62,11.63,36.02,67.36,1643.66,26.43,78.28,126.81,2658.37,2.7374,45.59,0
24.35,1.03,13.34,22.49,44.69,1220.35,59.8,127.76,171.28,3831.34,2.5,43.69,1
89.97,93.54,-11.41,18.49,75.46,180.93,107.04,40.99,362.57,2730.06,2.7094,54.12,0
12.09,25.14,14.61,13.77,48.63,1266.15,154.39,14.29,6.74,2049.6,2.5,47.9,1
36.389746235523845,16.61,3.44,43.26,52.14,1947.47,75.34,14.9,183.59,1805.78,2.6269,32.15,0
13.48,107.59,-0.64,34.59,87.87,1776.84,1.31,93.01,324.14,3395.08,2.5,39.63,1
47.44,85.95,-8.51,31.51,75.53,1604.68,147.52,31.48,48.94,2514.66,2.6269,46.92,0
37.14,29.15,-2.91,33.6,93.96,361.69,108.54,44.65,363.76,3296.79,2.5,36.13,0
64.38,3.77,-13.6,14.62,91.94,2092.1,158.7,87.21,344.04,3087.48,2.5,42.57,0
32.0,64.27,10.03,7.91,34.93,2449.78,39.61,85.79,172.72,2981.7,2.5,45.39,1
62.44,110.91,0.43,39.35,49.28,2316.66,165.55,106.41,284.38,1794.88,2.6248,38.68,0
56.165817051753336,81.12,14.57,8.13,79.17,1613.03,12.86,98.84,229.71,3005.36,2.5,54.37,0
74.3,118.37,-13.46,21.54,24.64,1825.17,2.82,6.26,93.65,2984.09,2.5,56.16,0
85.92,66.02,7.08,3.89,15.54,1432.42,38.13,25.4,239.65,3938.79,2.5,45.69,0
47.20387310145287,90.52,1.51,-4.01,67.28,875.39,121.79,36.37,200.42,1598.61,2.7175,46.11,0
49.75,32.47,1.47,-2.58,48.42,1169.24,8.67,85.73,15.01,2541.76,2.5237,38.2,0
71.1,67.7,1.67,-5.31,99.96,2327.01,117.2,25.54,209.0,1627.34,2.5,41.29,0
20.38,91.16,-12.7,4.7,15.39,236.44,71.15,83.49,33.11,2804.67,2.5,57.41,1
46.69,40.77,-3.14,17.93,36.65,369.44,74.73,4.95,248.26,1632.92,2.5856,37.73,0
68.16,109.63,-6.38,37.1,21.74,1376.85,91.9,30.8,335.75,2813.1,2.5,47.55,0
70.94,0.0,0.01,-2.0,45.26,849.46,131.67,0.0,209.53,1607.47,2.5542,33.11,0
50.64,48.01,-0.19,41.6,21.78,2160.4,41.82,119.32,97.52,3011.3,2.5,31.45,0
49.98301599590337,113.0,-5.77,36.3,31.12,938.58,11.81,5.81,314.8,2010.94,2.5,48.09,0
21.27,77.28,-14.02,16.66,13.38,1984.43,53.22,9.9,417.59,3145.26,2.5,51.77,1
47.61,0.0,8.68,-7.82,95.18,408.57,174.89,0.0,206.37,2204.06,2.5,46.73,0
21.35,121.44,0.96,24.48,73.24,2253.44,119.24,93.77,62.89,3115.36,2.7692,40.66,1
80.17,79.16,-6.61,26.38,37.18,278.01,166.96,126.88,431.86,2414.69,2.7016,46.51,0
54.23,0.52,-12.85,-9.22,93.63,308.4,53.85,83.06,342.13,2848.17,2.5,52.55,0
42.37,8.45,-5.31,2.67,95.88,2462.04,116.15,99.3,441.6,3075.4,2.5,35.35,0
58.56,33.45,10.1,34.73,25.0,2094.48,67.97,78.76,56.03,2867.33,2.5,41.79,0
35.24,14.24,9.94,-4.18,56.87,1023.5,51.97,74.11,111.66,2882.66,2.5,47.2,1
81.85,4.34,-6.58,5.86,48.59,812.01,154.25,42.54,85.34,1743.12,2.5326,38.43,0
41.788586486245926,17.48,7.5,25.01,48.78,1261.46,177.51,88.07,24.94,3527.37,2.5,38.49,0
6.54,110.05,14.19,13.75,15.71,248.49,24.64,1.97,289.62,2520.42,2.5,59.23,1
41.9836426031348,107.07,0.29,29.66,97.51,2320.07,115.54,111.39,306.81,1544.21,2.5405,38.06,0
77.02,118.56,15.0,21.31,28.45,198.16,172.79,66.89,156.27,2808.42,2.5,61.28,0
69.08,44.44,8.49,4.17,61.64,233.03,24.28,84.49,173.67,3759.86,2.5,47.18,0
75.89,124.9,-9.02,25.3,14.44,154.78,28.28,18.87,161.18,1650.89,2.5,54.93,0
39.96,9.63,3.08,4.42,47.49,973.65,38.36,18.95,108.05,3896.06,2.5,35.09,0
75.24,120.62,-0.48,-9.09,78.69,169.04,47.62,121.61,302.4,3724.19,2.5,51.79,0
69.7,89.43,8.52,43.47,42.66,465.46,100.85,9.02,346.64,2624.42,2.5194,49.61,0
10.78,20.97,8.84,21.04,20.06,1937.99,90.06,17.45,309.72,1940.12,2.5,39.15,1
24.03,49.54,11.7,17.64,21.41,222.24,63.83,84.79,454.77,1965.8,2.5,49.31,1
11.91,105.07,12.53,41.72,39.71,1777.37,148.87,100.55,184.94,1521.98,2.5,53.6,1
81.29,61.47,-1.88,-5.21,29.42,380.02,53.96,120.1,414.61,2317.22,2.5,44.67,0
84.03,41.28,-9.67,40.24,96.35,1378.21,126.08,50.73,176.42,1527.74,2.5,43.61,0
40.68973528515221,17.61,9.31,42.84,61.35,1877.94,28.27,13.24,58.26,2237.36,2.7894,39.45,0
28.51,98.27,-7.51,44.74,64.57,2181.05,29.92,33.01,183.05,2917.07,2.5387,45.99,1
25.7,83.01,6.93,28.93,94.25,72.9,152.83,23.56,372.63,2219.69,2.7262,47.75,1
66.93,34.71,9.1,36.29,63.95,2422.59,56.39,65.33,366.09,2001.32,2.7102,40.08,0
25.59,91.05,12.76,41.41,45.06,942.41,24.44,97.63,403.74,2507.97,2.5979,53.93,1
13.88,50.39,11.65,-4.67,68.08,157.64,123.38,46.91,471.75,2062.49,2.5745,55.35,1
