date,city,daily_cardiac_admissions
2016-01-04,Los Angeles,399
2016-01-05,Los Angeles,243
2016-01-06,Los Angeles,125
2016-01-07,Los Angeles,0
2016-01-08,Los Angeles,346
2016-01-09,Los Angeles,170
2016-01-10,Los Angeles,232
2016-01-11,Los Angeles,129
2016-01-12,Los Angeles,214
2016-01-13,Los Angeles,0
2016-01-14,Los Angeles,137
2016-01-15,Los Angeles,206
2016-01-16,Los Angeles,124
2016-01-17,Los Angeles,340
2016-01-18,Los Angeles,241
2016-01-19,Los Angeles,134
2016-01-20,Los Angeles,0
2016-01-21,Los Angeles,0
2016-01-22,Los Angeles,329
2016-01-23,Los Angeles,0
2016-01-24,Los Angeles,293
2016-01-25,Los Angeles,58
2016-01-26,Los Angeles,290
2016-01-27,Los Angeles,260
2016-01-28,Los Angeles,333
2016-01-29,Los Angeles,257
2016-01-30,Los Angeles,89
2016-01-31,Los Angeles,324
2016-02-01,Los Angeles,356
2016-02-02,Los Angeles,255
2016-02-03,Los Angeles,135
2016-02-04,Los Angeles,139
2016-02-05,Los Angeles,362
2016-02-06,Los Angeles,14
2016-02-07,Los Angeles,402
2016-02-08,Los Angeles,0
2016-02-09,Los Angeles,183
2016-02-10,Los Angeles,164
2016-02-11,Los Angeles,550
2016-02-12,Los Angeles,271
2016-02-13,Los Angeles,77
2016-02-14,Los Angeles,231
2016-02-15,Los Angeles,0
2016-02-16,Los Angeles,21
2016-02-17,Los Angeles,225
2016-02-18,Los Angeles,363
2016-02-19,Los Angeles,164
2016-02-20,Los Angeles,172
2016-02-21,Los Angeles,405
2016-02-22,Los Angeles,655
2016-02-23,Los Angeles,67
2016-02-24,Los Angeles,373
2016-02-25,Los Angeles,123
2016-02-26,Los Angeles,0
2016-02-27,Los Angeles,84
2016-02-28,Los Angeles,339
2016-02-29,Los Angeles,226
2016-03-01,Los Angeles,54
2016-03-02,Los Angeles,381
2016-03-03,Los Angeles,293
2016-03-04,Los Angeles,148
2016-03-05,Los Angeles,298
2016-03-06,Los Angeles,90
2016-03-07,Los Angeles,435
2016-03-08,Los Angeles,275
2016-03-09,Los Angeles,438
2016-03-10,Los Angeles,228
2016-03-11,Los Angeles,358
2016-03-12,Los Angeles,376
2016-03-13,Los Angeles,502
2016-03-14,Los Angeles,301
2016-03-15,Los Angeles,371
2016-03-16,Los Angeles,90
2016-03-17,Los Angeles,88
2016-03-18,Los Angeles,77
2016-03-19,Los Angeles,0
2016-03-20,Los Angeles,556
2016-03-21,Los Angeles,167
2016-03-22,Los Angeles,253
2016-03-23,Los Angeles,413
2016-03-24,Los Angeles,217
2016-03-25,Los Angeles,300
2016-03-26,Los Angeles,176
2016-03-27,Los Angeles,65
2016-03-28,Los Angeles,315
2016-03-29,Los Angeles,636
2016-03-30,Los Angeles,664
2016-03-31,Los Angeles,402
2016-04-01,Los Angeles,67
2016-04-02,Los Angeles,328
2016-04-03,Los Angeles,352
2016-04-04,Los Angeles,331
2016-04-05,Los Angeles,531
2016-04-06,Los Angeles,208
2016-04-07,Los Angeles,299
2016-04-08,Los Angeles,404
2016-04-09,Los Angeles,587
2016-04-10,Los Angeles,612
2016-04-11,Los Angeles,352
2016-04-12,Los Angeles,114
2016-04-13,Los Angeles,326
2016-04-14,Los Angeles,382
2016-04-15,Los Angeles,327
2016-04-16,Los Angeles,349
2016-04-17,Los Angeles,0
2016-04-18,Los Angeles,58
2016-04-19,Los Angeles,350
2016-04-20,Los Angeles,353
2016-04-21,Los Angeles,504
2016-04-22,Los Angeles,192
2016-04-23,Los Angeles,266
2016-04-24,Los Angeles,379
2016-04-25,Los Angeles,121
2016-04-26,Los Angeles,500
2016-04-27,Los Angeles,302
2016-04-28,Los Angeles,485
2016-04-29,Los Angeles,0
2016-04-30,Los Angeles,355
2016-05-01,Los Angeles,414
2016-05-02,Los Angeles,517
2016-05-03,Los Angeles,0
2016-05-04,Los Angeles,268
2016-05-05,Los Angeles,272
2016-05-06,Los Angeles,368
2016-05-07,Los Angeles,93
2016-05-08,Los Angeles,363
2016-05-09,Los Angeles,0
2016-05-10,Los Angeles,541
2016-05-11,Los Angeles,346
2016-05-12,Los Angeles,564
2016-05-13,Los Angeles,437
2016-05-14,Los Angeles,1
2016-05-15,Los Angeles,194
2016-05-16,Los Angeles,302
2016-05-17,Los Angeles,646
2016-05-18,Los Angeles,382
2016-05-19,Los Angeles,225
2016-05-20,Los Angeles,471
2016-05-21,Los Angeles,351
2016-05-22,Los Angeles,151
2016-05-23,Los Angeles,122
2016-05-24,Los Angeles,97
2016-05-25,Los Angeles,176
2016-05-26,Los Angeles,210
2016-05-27,Los Angeles,210
2016-05-28,Los Angeles,235
2016-05-29,Los Angeles,186
2016-05-30,Los Angeles,317
2016-05-31,Los Angeles,450
2016-06-01,Los Angeles,174
2016-06-02,Los Angeles,114
2016-06-03,Los Angeles,166
2016-06-04,Los Angeles,476
2016-06-05,Los Angeles,112
2016-06-06,Los Angeles,611
2016-06-07,Los Angeles,0
2016-06-08,Los Angeles,60
2016-06-09,Los Angeles,0
2016-06-10,Los Angeles,472
2016-06-11,Los Angeles,253
2016-06-12,Los Angeles,605
2016-06-13,Los Angeles,280
2016-06-14,Los Angeles,162
2016-06-15,Los Angeles,300
2016-06-16,Los Angeles,442
2016-06-17,Los Angeles,351
2016-06-18,Los Angeles,34
2016-06-19,Los Angeles,399
2016-06-20,Los Angeles,254
2016-06-21,Los Angeles,143
2016-06-22,Los Angeles,310
2016-06-23,Los Angeles,239
2016-06-24,Los Angeles,240
2016-06-25,Los Angeles,229
2016-06-26,Los Angeles,150
2016-06-27,Los Angeles,419
2016-06-28,Los Angeles,291
2016-06-29,Los Angeles,422
2016-06-30,Los Angeles,128
2016-07-01,Los Angeles,156
2016-07-02,Los Angeles,184
2016-07-03,Los Angeles,13
2016-07-04,Los Angeles,5
2016-07-05,Los Angeles,202
2016-07-06,Los Angeles,269
2016-07-07,Los Angeles,275
2016-07-08,Los Angeles,364
2016-07-09,Los Angeles,285
2016-07-10,Los Angeles,0
2016-07-11,Los Angeles,61
2016-07-12,Los Angeles,89
2016-07-13,Los Angeles,73
2016-07-14,Los Angeles,29
2016-07-15,Los Angeles,104
2016-07-16,Los Angeles,5
2016-07-17,Los Angeles,282
2016-07-18,Los Angeles,112
2016-07-19,Los Angeles,339
2016-07-20,Los Angeles,166
2016-07-21,Los Angeles,1
2016-07-22,Los Angeles,255
2016-07-23,Los Angeles,51
2016-07-24,Los Angeles,6
2016-07-25,Los Angeles,382
2016-07-26,Los Angeles,0
2016-07-27,Los Angeles,273
2016-07-28,Los Angeles,274
2016-07-29,Los Angeles,229
2016-07-30,Los Angeles,237
2016-07-31,Los Angeles,0
2016-08-01,Los Angeles,182
2016-08-02,Los Angeles,24
2016-08-03,Los Angeles,198
2016-08-04,Los Angeles,243
2016-08-05,Los Angeles,149
2016-08-06,Los Angeles,87
2016-08-07,Los Angeles,189
2016-08-08,Los Angeles,324
2016-08-09,Los Angeles,480
2016-08-10,Los Angeles,131
2016-08-11,Los Angeles,294
2016-08-12,Los Angeles,215
2016-08-13,Los Angeles,181
2016-08-14,Los Angeles,68
2016-08-15,Los Angeles,112
2016-08-16,Los Angeles,126
2016-08-17,Los Angeles,151
2016-08-18,Los Angeles,42
2016-08-19,Los Angeles,88
2016-08-20,Los Angeles,121
2016-08-21,Los Angeles,39
2016-08-22,Los Angeles,186
2016-08-23,Los Angeles,0
2016-08-24,Los Angeles,98
2016-08-25,Los Angeles,119
2016-08-26,Los Angeles,0
2016-08-27,Los Angeles,0
2016-08-28,Los Angeles,67
2016-08-29,Los Angeles,161
2016-08-30,Los Angeles,173
2016-08-31,Los Angeles,47
2016-09-01,Los Angeles,388
2016-09-02,Los Angeles,142
2016-09-03,Los Angeles,36
2016-09-04,Los Angeles,202
2016-09-05,Los Angeles,263
2016-09-06,Los Angeles,39
2016-09-07,Los Angeles,33
2016-09-08,Los Angeles,362
2016-09-09,Los Angeles,116
2016-09-10,Los Angeles,76
2016-09-11,Los Angeles,11
2016-09-12,Los Angeles,146
2016-09-13,Los Angeles,201
2016-09-14,Los Angeles,237
2016-09-15,Los Angeles,0
2016-09-16,Los Angeles,15
2016-09-17,Los Angeles,355
2016-09-18,Los Angeles,0
2016-09-19,Los Angeles,72
2016-09-20,Los Angeles,194
2016-09-21,Los Angeles,0
2016-09-22,Los Angeles,144
2016-09-23,Los Angeles,0
2016-09-24,Los Angeles,282
2016-09-25,Los Angeles,0
2016-09-26,Los Angeles,0
2016-09-27,Los Angeles,93
2016-09-28,Los Angeles,201
2016-09-29,Los Angeles,0
2016-09-30,Los Angeles,82
2016-10-01,Los Angeles,106
2016-10-02,Los Angeles,54
2016-10-03,Los Angeles,240
2016-10-04,Los Angeles,0
2016-10-05,Los Angeles,32
2016-10-06,Los Angeles,0
2016-10-07,Los Angeles,146
2016-10-08,Los Angeles,297
2016-10-09,Los Angeles,40
2016-10-10,Los Angeles,116
2016-10-11,Los Angeles,0
2016-10-12,Los Angeles,116
2016-10-13,Los Angeles,129
2016-10-14,Los Angeles,245
2016-10-15,Los Angeles,76
2016-10-16,Los Angeles,126
2016-10-17,Los Angeles,0
2016-10-18,Los Angeles,103
2016-10-19,Los Angeles,47
2016-10-20,Los Angeles,143
2016-10-21,Los Angeles,125
2016-10-22,Los Angeles,34
2016-10-23,Los Angeles,97
2016-10-24,Los Angeles,224
2016-10-25,Los Angeles,92
2016-10-26,Los Angeles,42
2016-10-27,Los Angeles,0
2016-10-28,Los Angeles,0
2016-10-29,Los Angeles,48
2016-10-30,Los Angeles,243
2016-10-31,Los Angeles,56
2016-11-01,Los Angeles,199
2016-11-02,Los Angeles,0
2016-11-03,Los Angeles,0
2016-11-04,Los Angeles,61
2016-11-05,Los Angeles,0
2016-11-06,Los Angeles,12
2016-11-07,Los Angeles,0
2016-11-08,Los Angeles,0
2016-11-09,Los Angeles,8
2016-11-10,Los Angeles,91
2016-11-11,Los Angeles,152
2016-11-12,Los Angeles,102
2016-11-13,Los Angeles,234
2016-11-14,Los Angeles,0
2016-11-15,Los Angeles,215
2016-11-16,Los Angeles,81
2016-11-17,Los Angeles,61
2016-11-18,Los Angeles,104
2016-11-19,Los Angeles,203
2016-11-20,Los Angeles,147
2016-11-21,Los Angeles,58
2016-11-22,Los Angeles,122
2016-11-23,Los Angeles,242
2016-11-24,Los Angeles,286
2016-11-25,Los Angeles,154
2016-11-26,Los Angeles,270
2016-11-27,Los Angeles,0
2016-11-28,Los Angeles,188
2016-11-29,Los Angeles,127
2016-11-30,Los Angeles,135
2016-12-01,Los Angeles,287
2016-12-02,Los Angeles,500
2016-12-03,Los Angeles,12
2016-12-04,Los Angeles,0
2016-12-05,Los Angeles,0
2016-12-06,Los Angeles,466
2016-12-07,Los Angeles,0
2016-12-08,Los Angeles,326
2016-12-09,Los Angeles,15
2016-12-10,Los Angeles,148
2016-12-11,Los Angeles,152
2016-12-12,Los Angeles,135
2016-12-13,Los Angeles,326
2016-12-14,Los Angeles,152
2016-12-15,Los Angeles,114
2016-12-16,Los Angeles,205
2016-12-17,Los Angeles,210
2016-12-18,Los Angeles,192
2016-12-19,Los Angeles,136
2016-12-20,Los Angeles,95
2016-12-21,Los Angeles,0
2016-12-22,Los Angeles,0
2016-12-23,Los Angeles,180
2016-12-24,Los Angeles,74
2016-12-25,Los Angeles,175
2016-12-26,Los Angeles,126
2016-12-27,Los Angeles,27
2016-12-28,Los Angeles,19
2016-12-29,Los Angeles,171
2016-12-30,Los Angeles,0
2016-12-31,Los Angeles,0
2017-01-01,Los Angeles,134
2017-01-02,Los Angeles,0
2017-01-03,Los Angeles,50
2017-01-04,Los Angeles,219
2017-01-05,Los Angeles,220
2017-01-06,Los Angeles,0
2017-01-07,Los Angeles,0
2017-01-08,Los Angeles,139
2017-01-09,Los Angeles,117
2017-01-10,Los Angeles,0
2017-01-11,Los Angeles,210
2017-01-12,Los Angeles,0
2017-01-13,Los Angeles,353
2017-01-14,Los Angeles,122
2017-01-15,Los Angeles,0
2017-01-16,Los Angeles,490
2017-01-17,Los Angeles,0
2017-01-18,Los Angeles,296
2017-01-19,Los Angeles,307
2017-01-20,Los Angeles,591
2017-01-21,Los Angeles,0
2017-01-22,Los Angeles,3
2017-01-23,Los Angeles,239
2017-01-24,Los Angeles,86
2017-01-25,Los Angeles,188
2017-01-26,Los Angeles,716
2017-01-27,Los Angeles,197
2017-01-28,Los Angeles,362
2017-01-29,Los Angeles,180
2017-01-30,Los Angeles,256
2017-01-31,Los Angeles,462
2017-02-01,Los Angeles,202
2017-02-02,Los Angeles,0
2017-02-03,Los Angeles,293
2017-02-04,Los Angeles,96
2017-02-05,Los Angeles,0
2017-02-06,Los Angeles,62
2017-02-07,Los Angeles,0
2017-02-08,Los Angeles,201
2017-02-09,Los Angeles,93
2017-02-10,Los Angeles,233
2017-02-11,Los Angeles,466
2017-02-12,Los Angeles,186
2017-02-13,Los Angeles,66
2017-02-14,Los Angeles,0
2017-02-15,Los Angeles,305
2017-02-16,Los Angeles,249
2017-02-17,Los Angeles,23
2017-02-18,Los Angeles,193
2017-02-19,Los Angeles,170
2017-02-20,Los Angeles,93
2017-02-21,Los Angeles,400
2017-02-22,Los Angeles,263
2017-02-23,Los Angeles,229
2017-02-24,Los Angeles,536
2017-02-25,Los Angeles,97
2017-02-26,Los Angeles,45
2017-02-27,Los Angeles,497
2017-02-28,Los Angeles,232
2017-03-01,Los Angeles,376
2017-03-02,Los Angeles,225
2017-03-03,Los Angeles,293
2017-03-04,Los Angeles,410
2017-03-05,Los Angeles,449
2017-03-06,Los Angeles,566
2017-03-07,Los Angeles,302
2017-03-08,Los Angeles,451
2017-03-09,Los Angeles,229
2017-03-10,Los Angeles,783
2017-03-11,Los Angeles,216
2017-03-12,Los Angeles,0
2017-03-13,Los Angeles,196
2017-03-14,Los Angeles,342
2017-03-15,Los Angeles,398
2017-03-16,Los Angeles,219
2017-03-17,Los Angeles,267
2017-03-18,Los Angeles,258
2017-03-19,Los Angeles,180
2017-03-20,Los Angeles,181
2017-03-21,Los Angeles,302
2017-03-22,Los Angeles,41
2017-03-23,Los Angeles,406
2017-03-24,Los Angeles,292
2017-03-25,Los Angeles,0
2017-03-26,Los Angeles,474
2017-03-27,Los Angeles,0
2017-03-28,Los Angeles,138
2017-03-29,Los Angeles,119
2017-03-30,Los Angeles,291
2017-03-31,Los Angeles,319
2017-04-01,Los Angeles,235
2017-04-02,Los Angeles,522
2017-04-03,Los Angeles,533
2017-04-04,Los Angeles,0
2017-04-05,Los Angeles,0
2017-04-06,Los Angeles,200
2017-04-07,Los Angeles,34
2017-04-08,Los Angeles,176
2017-04-09,Los Angeles,348
2017-04-10,Los Angeles,0
2017-04-11,Los Angeles,592
2017-04-12,Los Angeles,369
2017-04-13,Los Angeles,431
2017-04-14,Los Angeles,506
2017-04-15,Los Angeles,176
2017-04-16,Los Angeles,354
2017-04-17,Los Angeles,136
2017-04-18,Los Angeles,269
2017-04-19,Los Angeles,414
2017-04-20,Los Angeles,622
2017-04-21,Los Angeles,402
2017-04-22,Los Angeles,415
2017-04-23,Los Angeles,211
2017-04-24,Los Angeles,792
2017-04-25,Los Angeles,212
2017-04-26,Los Angeles,627
2017-04-27,Los Angeles,338
2017-04-28,Los Angeles,71
2017-04-29,Los Angeles,217
2017-04-30,Los Angeles,379
2017-05-01,Los Angeles,354
2017-05-02,Los Angeles,0
2017-05-03,Los Angeles,316
2017-05-04,Los Angeles,191
2017-05-05,Los Angeles,144
2017-05-06,Los Angeles,189
2017-05-07,Los Angeles,397
2017-05-08,Los Angeles,246
2017-05-09,Los Angeles,0
2017-05-10,Los Angeles,249
2017-05-11,Los Angeles,325
2017-05-12,Los Angeles,228
2017-05-13,Los Angeles,433
2017-05-14,Los Angeles,522
2017-05-15,Los Angeles,427
2017-05-16,Los Angeles,45
2017-05-17,Los Angeles,459
2017-05-18,Los Angeles,368
2017-05-19,Los Angeles,162
2017-05-20,Los Angeles,287
2017-05-21,Los Angeles,311
2017-05-22,Los Angeles,391
