Species,IUCN_Status
Platymantis biak,
Platymantis bimaculatus,
Platymantis boulengeri,
Platymantis browni,
Platymantis bufonulus,
Platymantis caesiops,
Platymantis cagayanensis,
Platymantis cheesmanae,
Platymantis cornutus,LEAST_CONCERN
Platymantis corrugatus,LEAST_CONCERN
Platymantis cryptotis,
Platymantis desticans,
Platymantis diesmosi,ENDANGERED
Platymantis dorsalis,
Platymantis gilliardi,
Platymantis guentheri,
Platymantis guppyi,
Platymantis hazelae,
Platymantis indeprensus,NEAR_THREATENED
Platymantis insulatus,CRITICALLY_ENDANGERED
Platymantis isarog,LEAST_CONCERN
Platymantis latro,
Platymantis lawtoni,ENDANGERED
Platymantis levigatus,ENDANGERED
Platymantis luzonensis,NEAR_THREATENED
Platymantis macrops,
Platymantis macrosceles,
Platymantis magnus,
Platymantis mamusiorum,
Platymantis manus,
Platymantis mimicus,
Platymantis mimulus,LEAST_CONCERN
Platymantis montanus,VULNERABLE
Platymantis myersi,
Platymantis nakanaiorum,
Platymantis naomii,NEAR_THREATENED
Platymantis neckeri,
Platymantis negrosensis,NEAR_THREATENED
Platymantis nexipus,
Platymantis paengi,ENDANGERED
Platymantis panayensis,ENDANGERED
Platymantis papuensis,
Platymantis parilis,
Platymantis parkeri,
Platymantis pelewensis,
Platymantis polillensis,LEAST_CONCERN
Platymantis pseudodorsalis,NEAR_THREATENED
Platymantis punctatus,
Platymantis pygmaeus,LEAST_CONCERN
Platymantis rabori,LEAST_CONCERN
Platymantis schmidti,
Platymantis sierramadrensis,VULNERABLE
Platymantis solomonis,
Platymantis spelaeus,ENDANGERED
Platymantis subterrestris,ENDANGERED
Platymantis sulcatus,
Platymantis taylori,VULNERABLE
Platymantis vitianus,
Platymantis vitiensis,
Platymantis weberi,
Platymantis wuenscheorum,
Atelognathus ceii,DATA_DEFICIENT
Atelognathus grandisonae,
Atelognathus jeinimenensis,
Atelognathus nitoi,VULNERABLE
Atelognathus patagonicus,CRITICALLY_ENDANGERED
Atelognathus praebasalticus,
Atelognathus reverberii,
Atelognathus salai,
Atelognathus solitarius,
Batrachyla antartandica,
Batrachyla fitzroya,
Batrachyla leptopus,
Batrachyla nibaldoi,LEAST_CONCERN
Batrachyla taeniata,LEAST_CONCERN
Ceratophrys aurita,LEAST_CONCERN
Ceratophrys calcarata,LEAST_CONCERN
Ceratophrys cornuta,
Ceratophrys cranwelli,LEAST_CONCERN
Ceratophrys joazeirensis,LEAST_CONCERN
Ceratophrys ornata,NEAR_THREATENED
Ceratophrys stolzmanni,VULNERABLE
Ceratophrys testudo,DATA_DEFICIENT
Chacophrys pierottii,LEAST_CONCERN
Lepidobatrachus asper,LEAST_CONCERN
Lepidobatrachus laevis,LEAST_CONCERN
Lepidobatrachus llanensis,LEAST_CONCERN
Telmatobius arequipensis,NEAR_THREATENED
Telmatobius atacamensis,CRITICALLY_ENDANGERED
Telmatobius atahualpai,VULNERABLE
Telmatobius bolivianus,CRITICALLY_ENDANGERED
Telmatobius brachydactylus,ENDANGERED
Telmatobius brevipes,VULNERABLE
Telmatobius brevirostris,ENDANGERED
Telmatobius carrillae,VULNERABLE
Telmatobius ceiorum,CRITICALLY_ENDANGERED
Telmatobius chusmisensis,ENDANGERED
Telmatobius cirrhacelis,CRITICALLY_ENDANGERED
Telmatobius colanensis,DATA_DEFICIENT
Telmatobius contrerasi,ENDANGERED
Telmatobius culeus,ENDANGERED
Telmatobius dankoi,CRITICALLY_ENDANGERED
Telmatobius degener,DATA_DEFICIENT
Telmatobius edaphonastes,CRITICALLY_ENDANGERED
Telmatobius espadai,CRITICALLY_ENDANGERED
Telmatobius fronteriensis,CRITICALLY_ENDANGERED
Telmatobius gigas,ENDANGERED
Telmatobius halli,DATA_DEFICIENT
Telmatobius hauthali,ENDANGERED
Telmatobius hintoni,VULNERABLE
Telmatobius hockingi,DATA_DEFICIENT
Telmatobius huayra,VULNERABLE
Telmatobius hypselocephalus,ENDANGERED
Telmatobius ignavus,ENDANGERED
Telmatobius intermedius,ENDANGERED
Telmatobius jelskii,NEAR_THREATENED
Telmatobius laticeps,CRITICALLY_ENDANGERED
Telmatobius latirostris,ENDANGERED
Telmatobius macrostomus,ENDANGERED
Telmatobius marmoratus,ENDANGERED
Telmatobius mayoloi,ENDANGERED
Telmatobius necopinus,DATA_DEFICIENT
Telmatobius niger,CRITICALLY_ENDANGERED
Telmatobius oxycephalus,ENDANGERED
Telmatobius pefauri,CRITICALLY_ENDANGERED
Telmatobius peruvianus,VULNERABLE
Telmatobius philippii,CRITICALLY_ENDANGERED
Telmatobius pinguiculus,ENDANGERED
Telmatobius pisanoi,ENDANGERED
Telmatobius platycephalus,ENDANGERED
Telmatobius punctatus,ENDANGERED
Telmatobius rimac,VULNERABLE
Telmatobius rubigo,VULNERABLE
Telmatobius sanborni,CRITICALLY_ENDANGERED
Telmatobius schreiteri,ENDANGERED
Telmatobius scrocchii,CRITICALLY_ENDANGERED
Telmatobius sibiricus,CRITICALLY_ENDANGERED
Telmatobius simonsi,CRITICALLY_ENDANGERED
Telmatobius stephani,ENDANGERED
Telmatobius thompsoni,DATA_DEFICIENT
Telmatobius timens,CRITICALLY_ENDANGERED
Telmatobius truebae,VULNERABLE
Telmatobius vellardi,CRITICALLY_ENDANGERED
Telmatobius verrucosus,CRITICALLY_ENDANGERED
Telmatobius vilamensis,CRITICALLY_ENDANGERED
Telmatobius yuracare,CRITICALLY_ENDANGERED
Telmatobius zapahuirensis,ENDANGERED
Ceuthomantis aracamuni,VULNERABLE
Ceuthomantis cavernibardus,LEAST_CONCERN
Ceuthomantis Duellmani,
Ceuthomantis smaragdinus,VULNERABLE
Craugastor adamastus,CRITICALLY_ENDANGERED
Craugastor alfredi,LEAST_CONCERN
Craugastor amniscola,VULNERABLE
Craugastor anciano,EXTINCT
Craugastor andi,CRITICALLY_ENDANGERED
Craugastor angelicus,CRITICALLY_ENDANGERED
Craugastor aphanus,ENDANGERED
Craugastor augusti,LEAST_CONCERN
Craugastor aurilegulus,VULNERABLE
Craugastor azueroensis,ENDANGERED
Craugastor batrachylus,DATA_DEFICIENT
Craugastor berkenbuschii,LEAST_CONCERN
Craugastor bocourti,ENDANGERED
Craugastor bransfordii,LEAST_CONCERN
Craugastor brocchi,VULNERABLE
Craugastor campbelli,CRITICALLY_ENDANGERED
Craugastor catalinae,CRITICALLY_ENDANGERED
Craugastor chac,LEAST_CONCERN
Craugastor charadra,VULNERABLE
Craugastor chingopetaca,VULNERABLE
Craugastor chrysozetetes,CRITICALLY_ENDANGERED
Craugastor coffeus,CRITICALLY_ENDANGERED
Craugastor crassidigitus,LEAST_CONCERN
Craugastor cruzi,CRITICALLY_ENDANGERED
Craugastor cuaquero,DATA_DEFICIENT
Craugastor cyanochthebius,ENDANGERED
Craugastor daryi,ENDANGERED
Craugastor decoratus,LEAST_CONCERN
Craugastor emcelae,CRITICALLY_ENDANGERED
Craugastor emleni,ENDANGERED
Craugastor epochthidius,CRITICALLY_ENDANGERED
Craugastor escoces,CRITICALLY_ENDANGERED
Craugastor evanesco,CRITICALLY_ENDANGERED
Craugastor fecundus,CRITICALLY_ENDANGERED
Craugastor fitzingeri,LEAST_CONCERN
Craugastor fleischmanni,CRITICALLY_ENDANGERED
Craugastor galacticorhinus,ENDANGERED
Craugastor glaucus,ENDANGERED
Craugastor gollmeri,LEAST_CONCERN
Craugastor greggi,ENDANGERED
Craugastor guerreroensis,ENDANGERED
Craugastor gulosus,CRITICALLY_ENDANGERED
Craugastor hobartsmithi,LEAST_CONCERN
Craugastor inachus,CRITICALLY_ENDANGERED
Craugastor jota,
Craugastor laevissimus,ENDANGERED
Craugastor laticeps,LEAST_CONCERN
Craugastor lauraster,LEAST_CONCERN
Craugastor lineatus,LEAST_CONCERN
Craugastor loki,LEAST_CONCERN
Craugastor longirostris,LEAST_CONCERN
Craugastor matudai,ENDANGERED
Craugastor megacephalus,LEAST_CONCERN
Craugastor megalotympanum,ENDANGERED
Craugastor melanostictus,LEAST_CONCERN
Craugastor merendonensis,CRITICALLY_ENDANGERED
Craugastor mexicanus,LEAST_CONCERN
Craugastor milesi,CRITICALLY_ENDANGERED
Craugastor mimus,LEAST_CONCERN
Craugastor monnichorum,ENDANGERED
Craugastor montanus,ENDANGERED
Craugastor myllomyllon,EXTINCT
Craugastor nefrens,CRITICALLY_ENDANGERED
Craugastor noblei,LEAST_CONCERN
Craugastor obesus,CRITICALLY_ENDANGERED
Craugastor occidentalis,LEAST_CONCERN
Craugastor olanchano,CRITICALLY_ENDANGERED
Craugastor omiltemanus,LEAST_CONCERN
Craugastor omoaensis,EXTINCT
Craugastor opimus,
Craugastor palenque,VULNERABLE
Craugastor pechorum,ENDANGERED
Craugastor pelorus,VULNERABLE
Craugastor persimilis,LEAST_CONCERN
Craugastor phasma,CRITICALLY_ENDANGERED
Craugastor podiciferus,LEAST_CONCERN
Craugastor polymniae,NEAR_THREATENED
Craugastor polyptychus,LEAST_CONCERN
Craugastor pozo,CRITICALLY_ENDANGERED
Craugastor psephosypharus,NEAR_THREATENED
Craugastor punctariolus,CRITICALLY_ENDANGERED
Craugastor pygmaeus,LEAST_CONCERN
Craugastor raniformis,LEAST_CONCERN
Craugastor ranoides,CRITICALLY_ENDANGERED
Craugastor rayo,ENDANGERED
Craugastor rhodopis,LEAST_CONCERN
Craugastor rhyacobatrachus,CRITICALLY_ENDANGERED
Craugastor rivulus,VULNERABLE
Craugastor rostralis,VULNERABLE
Craugastor rugosus,LEAST_CONCERN
Craugastor rugulosus,LEAST_CONCERN
Craugastor rupinius,LEAST_CONCERN
Craugastor sabrinus,NEAR_THREATENED
Craugastor saltator,ENDANGERED
Craugastor saltuarius,CRITICALLY_ENDANGERED
Craugastor sandersoni,ENDANGERED
Craugastor silvicola,DATA_DEFICIENT
Craugastor spatulatus,ENDANGERED
Craugastor stadelmani,CRITICALLY_ENDANGERED
Craugastor stejnegerianus,LEAST_CONCERN
Craugastor stuarti,VULNERABLE
Craugastor tabasarae,CRITICALLY_ENDANGERED
Craugastor talamancae,LEAST_CONCERN
Craugastor tarahumaraensis,LEAST_CONCERN
Craugastor taurus,ENDANGERED
Craugastor taylori,CRITICALLY_ENDANGERED
Craugastor trachydermus,CRITICALLY_ENDANGERED
Craugastor underwoodi,LEAST_CONCERN
Craugastor uno,VULNERABLE
Craugastor vocalis,LEAST_CONCERN
Craugastor vulcani,ENDANGERED
Craugastor xucanebi,VULNERABLE
Craugastor yucatanensis,NEAR_THREATENED
Haddadus binotatus,LEAST_CONCERN
Haddadus plicifer,DATA_DEFICIENT
Rupirana cardosoi,VULNERABLE
Alsodes australis,DATA_DEFICIENT
Alsodes Barrioi,
Alsodes coppingeri,DATA_DEFICIENT
Alsodes gargola,LEAST_CONCERN
Alsodes hugoi,VULNERABLE
Alsodes igneus,VULNERABLE
Alsodes kaweshkari,DATA_DEFICIENT
Alsodes laevis,
Alsodes montanus,VULNERABLE
Alsodes monticola,DATA_DEFICIENT
Alsodes nodosus,NEAR_THREATENED
Alsodes norae,ENDANGERED
Alsodes pehuenche,CRITICALLY_ENDANGERED
Alsodes tumultuosus,VULNERABLE
Alsodes valdiviensis,ENDANGERED
Alsodes vanzolinii,ENDANGERED
Alsodes verrucosus,ENDANGERED
Alsodes vittatus,DATA_DEFICIENT
Eupsophus calcaratus,LEAST_CONCERN
Eupsophus contulmoensis,ENDANGERED
Eupsophus emiliopugini,LEAST_CONCERN
Eupsophus insularis,CRITICALLY_ENDANGERED
Eupsophus migueli,ENDANGERED
Eupsophus nahuelbutensis,ENDANGERED
Eupsophus queulensis,
Eupsophus roseus,LEAST_CONCERN
Eupsophus septentrionalis,ENDANGERED
Eupsophus vertebralis,LEAST_CONCERN
Hylorina sylvatica,LEAST_CONCERN
Insuetophrynus acarpicus,ENDANGERED
Limnomedusa macroglossa,LEAST_CONCERN
Macrogenioglottus alipioi,LEAST_CONCERN
Odontophrynus achalensis,VULNERABLE
Odontophrynus americanus,LEAST_CONCERN
Odontophrynus Barrioi,
Odontophrynus carvalhoi,LEAST_CONCERN
Odontophrynus cordobae,LEAST_CONCERN
Odontophrynus cultripes,LEAST_CONCERN
Odontophrynus lavillai,LEAST_CONCERN
Odontophrynus maisuma,LEAST_CONCERN
Odontophrynus occidentalis,LEAST_CONCERN
Odontophrynus salvatori,
Proceratophrys appendiculata,LEAST_CONCERN
Proceratophrys avelinoi,LEAST_CONCERN
Proceratophrys bigibbosa,LEAST_CONCERN
Proceratophrys boiei,LEAST_CONCERN
Proceratophrys brauni,LEAST_CONCERN
Proceratophrys concavitympanum,LEAST_CONCERN
Proceratophrys cristiceps,LEAST_CONCERN
Proceratophrys cururu,VULNERABLE
Proceratophrys goyana,LEAST_CONCERN
Proceratophrys laticeps,LEAST_CONCERN
Proceratophrys melanopogon,LEAST_CONCERN
Proceratophrys moehringi,LEAST_CONCERN
Proceratophrys moratoi,LEAST_CONCERN
Proceratophrys palustris,CRITICALLY_ENDANGERED
Proceratophrys paviotii,NEAR_THREATENED
Proceratophrys phyllostoma,DATA_DEFICIENT
Proceratophrys renalis,LEAST_CONCERN
Proceratophrys rondonae,DATA_DEFICIENT
Proceratophrys sanctaritae,ENDANGERED
Proceratophrys schirchi,LEAST_CONCERN
Proceratophrys subguttata,LEAST_CONCERN
Proceratophrys tupinamba,LEAST_CONCERN
Thoropa lutzi,CRITICALLY_ENDANGERED
Thoropa megatympanum,LEAST_CONCERN
Thoropa miliaris,LEAST_CONCERN
Thoropa petropolitana,CRITICALLY_ENDANGERED
Thoropa saxatilis,LEAST_CONCERN
Thoropa taophora,LEAST_CONCERN
Crossodactylodes bokermanni,LEAST_CONCERN
Crossodactylodes Izecksohni,
Crossodactylodes pintoi,DATA_DEFICIENT
Cycloramphus acangatan,LEAST_CONCERN
Cycloramphus asper,DATA_DEFICIENT
Cycloramphus bandeirensis,VULNERABLE
Cycloramphus bolitoglossus,LEAST_CONCERN
Cycloramphus boraceiensis,LEAST_CONCERN
Cycloramphus brasiliensis,ENDANGERED
Cycloramphus carvalhoi,LEAST_CONCERN
Cycloramphus catarinensis,CRITICALLY_ENDANGERED
Cycloramphus cedrensis,CRITICALLY_ENDANGERED
Cycloramphus diringshofeni,CRITICALLY_ENDANGERED
Cycloramphus dubius,LEAST_CONCERN
Cycloramphus duseni,DATA_DEFICIENT
Cycloramphus eleutherodactylus,LEAST_CONCERN
Cycloramphus faustoi,VULNERABLE
Cycloramphus fuliginosus,LEAST_CONCERN
Cycloramphus granulosus,CRITICALLY_ENDANGERED
Cycloramphus Izecksohni,
Cycloramphus juimirim,LEAST_CONCERN
Cycloramphus lutzorum,LEAST_CONCERN
Cycloramphus migueli,LEAST_CONCERN
Cycloramphus mirandaribeiroi,LEAST_CONCERN
Cycloramphus ohausi,CRITICALLY_ENDANGERED
Cycloramphus organensis,VULNERABLE
Cycloramphus rhyakonastes,LEAST_CONCERN
Cycloramphus semipalmatus,CRITICALLY_ENDANGERED
Cycloramphus stejnegeri,CRITICALLY_ENDANGERED
Cycloramphus valae,CRITICALLY_ENDANGERED
Rhinoderma darwinii,ENDANGERED
Rhinoderma rufum,CRITICALLY_ENDANGERED
Zachaenus carvalhoi,
Zachaenus parvulus,
Colostethus poecilonotus,DATA_DEFICIENT
Colostethus ramirezi,
Ameerega altamazonica,LEAST_CONCERN
Ameerega andina,
Ameerega bassleri,VULNERABLE
Ameerega bilinguis,LEAST_CONCERN
Ameerega boehmei,ENDANGERED
Ameerega boliviana,NEAR_THREATENED
Ameerega braccata,LEAST_CONCERN
Ameerega cainarachi,ENDANGERED
Ameerega erythromos,
Ameerega flavopicta,LEAST_CONCERN
Ameerega hahneli,LEAST_CONCERN
Ameerega ignipedis,LEAST_CONCERN
Ameerega ingeri,DATA_DEFICIENT
Ameerega labialis,
Ameerega macero,LEAST_CONCERN
Ameerega maculata,
Ameerega parvula,LEAST_CONCERN
Ameerega pepperi,VULNERABLE
Ameerega peruviridis,
Ameerega petersi,LEAST_CONCERN
Ameerega picta,LEAST_CONCERN
Ameerega planipaleae,CRITICALLY_ENDANGERED
Ameerega pongoensis,VULNERABLE
Ameerega pulchripecta,LEAST_CONCERN
Ameerega rubriventris,ENDANGERED
Ameerega silverstonei,ENDANGERED
Ameerega simulans,LEAST_CONCERN
Ameerega smaragdina,
Ameerega trivittata,LEAST_CONCERN
Ameerega yoshina,ENDANGERED
Ameerega yungicola,
Colostethus agilis,ENDANGERED
Colostethus alacris,
Colostethus argyrogaster,
Colostethus brachistriatus,
Colostethus craspedoceps,
Colostethus dysprosium,
Colostethus fraterdanieli,NEAR_THREATENED
Colostethus fugax,
Colostethus furviventris,DATA_DEFICIENT
Colostethus imbricolus,ENDANGERED
Colostethus inguinalis,LEAST_CONCERN
Colostethus jacobuspetersi,CRITICALLY_ENDANGERED
Colostethus latinasus,CRITICALLY_ENDANGERED
Colostethus lynchi,DATA_DEFICIENT
Colostethus mertensi,VULNERABLE
Colostethus panamansis,LEAST_CONCERN
Colostethus pratti,LEAST_CONCERN
Colostethus ruthveni,ENDANGERED
Colostethus thorntoni,VULNERABLE
Colostethus ucumari,ENDANGERED
Colostethus yaguara,
Epipedobates anthonyi,NEAR_THREATENED
Epipedobates boulengeri,LEAST_CONCERN
Epipedobates espinosai,DATA_DEFICIENT
Epipedobates machalilla,LEAST_CONCERN
Epipedobates narinensis,DATA_DEFICIENT
Epipedobates tricolor,VULNERABLE
Silverstoneia erasmios,ENDANGERED
Silverstoneia flotator,LEAST_CONCERN
Silverstoneia nubicola,NEAR_THREATENED
Adelphobates castaneoticus,LEAST_CONCERN
Adelphobates galactonotus,LEAST_CONCERN
Adelphobates quinquevittatus,LEAST_CONCERN
Dendrobates auratus,LEAST_CONCERN
Dendrobates leucomelas,LEAST_CONCERN
Dendrobates nubeculosus,DATA_DEFICIENT
Dendrobates tinctorius,LEAST_CONCERN
Dendrobates truncatus,LEAST_CONCERN
Excidobates captivus,VULNERABLE
Excidobates mysteriosus,ENDANGERED
Minyobates steyermarki,CRITICALLY_ENDANGERED
Oophaga arborea,CRITICALLY_ENDANGERED
Oophaga granulifera,VULNERABLE
Oophaga histrionica,LEAST_CONCERN
Oophaga lehmanni,CRITICALLY_ENDANGERED
Oophaga occultator,CRITICALLY_ENDANGERED
Oophaga pumilio,LEAST_CONCERN
Oophaga speciosa,EXTINCT
Oophaga sylvatica,
Oophaga vicentei,
Phyllobates aurotaenia,
Phyllobates bicolor,
Phyllobates lugubris,
Phyllobates terribilis,
Phyllobates vittatus,
Ranitomeya abdita,
Ranitomeya altobueyensis,
Ranitomeya amazonica,
Ranitomeya benedicta,
Ranitomeya biolat,
Ranitomeya bombetes,
Ranitomeya claudiae,
Ranitomeya cyanovittata,
Ranitomeya daleswansoni,
Ranitomeya defleri,
Ranitomeya dorisswansonae,
Ranitomeya Duellmani,
Ranitomeya fantastica,
Ranitomeya flavovittata,
Ranitomeya fulgurita,
Ranitomeya ignea,
Ranitomeya imitator,
Ranitomeya intermedia,
Ranitomeya lamasi,
Ranitomeya minuta,
Ranitomeya opisthomelas,
Ranitomeya reticulata,
Ranitomeya rubrocephala,
Ranitomeya sirensis,
Ranitomeya Summersi,
Ranitomeya tolimensis,
Ranitomeya uakarii,
Ranitomeya vanzolinii,
Ranitomeya variabilis,
Ranitomeya ventrimaculata,
Ranitomeya viridis,ENDANGERED
Ranitomeya virolinensis,
Ranitomeya yavaricola,
Hyloxalus abditaurantius,
Hyloxalus aeruginosus,
Hyloxalus anthracinus,
Hyloxalus awa,
Hyloxalus azureiventris,
Hyloxalus betancuri,
Hyloxalus bocagei,
Hyloxalus borjai,
Hyloxalus breviquartus,
Hyloxalus cevallosi,
Hyloxalus chlorocraspedus,
Hyloxalus chocoensis,
Hyloxalus delatorreae,
Hyloxalus edwardsi,
Hyloxalus elachyhistus,
Hyloxalus eleutherodactylus,
Hyloxalus exasperatus,
Hyloxalus excisus,DATA_DEFICIENT
Hyloxalus faciopunctulatus,
Hyloxalus fallax,
Hyloxalus fascianigrus,
Hyloxalus fuliginosus,
Hyloxalus idiomelus,
Hyloxalus infraguttatus,NEAR_THREATENED
Hyloxalus insulatus,VULNERABLE
Hyloxalus italoi,LEAST_CONCERN
Hyloxalus lehmanni,NEAR_THREATENED
Hyloxalus leucophaeus,DATA_DEFICIENT
Hyloxalus littoralis,LEAST_CONCERN
Hyloxalus maculosus,ENDANGERED
Hyloxalus maquipucuna,CRITICALLY_ENDANGERED
Hyloxalus marmoreoventris,CRITICALLY_ENDANGERED
Hyloxalus mittermeieri,DATA_DEFICIENT
Hyloxalus mystax,ENDANGERED
Hyloxalus nexipus,LEAST_CONCERN
Hyloxalus parcus,DATA_DEFICIENT
Hyloxalus patitae,
Hyloxalus peculiaris,CRITICALLY_ENDANGERED
Hyloxalus peruvianus,
Hyloxalus pinguis,
Hyloxalus pulchellus,
Hyloxalus pulcherrimus,
Hyloxalus pumilus,CRITICALLY_ENDANGERED
Hyloxalus ramosi,
Hyloxalus ruizi,CRITICALLY_ENDANGERED
Hyloxalus saltuarius,
Hyloxalus sauli,
Hyloxalus shuar,
Hyloxalus sordidatus,
Hyloxalus spilotogaster,
Hyloxalus subpunctatus,
Hyloxalus sylvaticus,
Hyloxalus toachi,VULNERABLE
Hyloxalus utcubambensis,
Hyloxalus vergeli,VULNERABLE
Hyloxalus vertebralis,VULNERABLE
Hyloxalus whymperi,
Hyloxalus yasuni,LEAST_CONCERN
Allopaa barmoachensis,
Allopaa hazarensis,
Chrysopaa sternosignata,
Euphlyctis aloysii,
Euphlyctis cyanophlyctis,LEAST_CONCERN
Euphlyctis ehrenbergii,
Euphlyctis ghoshi,
Euphlyctis hexadactylus,
Euphlyctis mudigere,
Fejervarya andamanensis,
Fejervarya brevipalmata,
Fejervarya cancrivora,
Fejervarya caperata,
Fejervarya granosa,
Fejervarya greenii,
Fejervarya iskandari,
Fejervarya keralensis,
Fejervarya kirtisinghei,
Fejervarya kudremukhensis,
Fejervarya limnocharis,
Fejervarya moodiei,LEAST_CONCERN
Fejervarya mudduraja,
Fejervarya murthii,
Fejervarya mysorensis,
Fejervarya nepalensis,
Fejervarya nicobariensis,
Fejervarya nilagirica,
Fejervarya orissaensis,
Fejervarya parambikulamana,
Fejervarya pierrei,
Fejervarya pulla,
Fejervarya rufescens,
Fejervarya sakishimensis,
Fejervarya sauriceps,
Fejervarya schlueteri,
Fejervarya syhadrensis,
Fejervarya teraiensis,
Fejervarya triora,
Fejervarya verruculosa,
Fejervarya vittigera,
Hoplobatrachus crassus,
Hoplobatrachus occipitalis,LEAST_CONCERN
Hoplobatrachus rugulosus,LEAST_CONCERN
Hoplobatrachus tigerinus,LEAST_CONCERN
Limnonectes acanthi,
Limnonectes arathooni,
Limnonectes asperatus,LEAST_CONCERN
Limnonectes bannaensis,
Limnonectes blythii,
Limnonectes dabanus,LEAST_CONCERN
Limnonectes dammermani,LEAST_CONCERN
Limnonectes diuatus,VULNERABLE
Limnonectes doriae,
Limnonectes ferneri,
Limnonectes finchi,
Limnonectes fragilis,VULNERABLE
Limnonectes fujianensis,
Limnonectes grunniens,LEAST_CONCERN
Limnonectes gyldenstolpei,LEAST_CONCERN
Limnonectes hascheanus,LEAST_CONCERN
Limnonectes heinrichi,
Limnonectes ibanorum,
Limnonectes ingeri,LEAST_CONCERN
Limnonectes jarujini,LEAST_CONCERN
Limnonectes kadarsani,LEAST_CONCERN
Limnonectes kenepaiensis,
Limnonectes khammonensis,
Limnonectes khasianus,
Limnonectes kohchangae,LEAST_CONCERN
Limnonectes kuhlii,LEAST_CONCERN
Limnonectes laticeps,
Limnonectes leporinus,LEAST_CONCERN
Limnonectes leytensis,
Limnonectes limborgi,LEAST_CONCERN
Limnonectes macrocephalus,NEAR_THREATENED
Limnonectes macrodon,LEAST_CONCERN
Limnonectes macrognathus,LEAST_CONCERN
Limnonectes magnus,NEAR_THREATENED
Limnonectes malesianus,
Limnonectes mawlyndipi,DATA_DEFICIENT
Limnonectes megastomias,VULNERABLE
Limnonectes micrixalus,DATA_DEFICIENT
Limnonectes microdiscus,LEAST_CONCERN
Limnonectes microtympanum,ENDANGERED
Limnonectes modestus,LEAST_CONCERN
Limnonectes namiyei,ENDANGERED
Limnonectes nitidus,
Limnonectes palavanensis,
Limnonectes paramacrodon,LEAST_CONCERN
Limnonectes parvus,
Limnonectes plicatellus,
Limnonectes poilani,LEAST_CONCERN
Limnonectes rhacoda,
Limnonectes shompenorum,
Limnonectes taylori,
Limnonectes timorensis,
Limnonectes tweediei,
Limnonectes visayanus,
Limnonectes woodworthi,LEAST_CONCERN
Minervarya chilapata,VULNERABLE
Minervarya sahyadris,LEAST_CONCERN
Nannophrys ceylonensis,VULNERABLE
Nannophrys guentheri,
Nannophrys marmorata,ENDANGERED
Nannophrys naeyakai,
Nanorana aenea,
Nanorana annandalii,
Nanorana arnoldi,DATA_DEFICIENT
Nanorana blanfordii,
Nanorana bourreti,
Nanorana chayuensis,LEAST_CONCERN
Nanorana conaensis,DATA_DEFICIENT
