bio_1_mean,bio_2_mean,bio_3_mean,bio_4_mean,bio_5_mean,bio_6_mean,bio_7_mean,bio_8_mean,bio_9_mean,bio_10_mean,bio_11_mean,bio_12_mean,bio_13_mean,bio_14_mean,bio_15_mean,bio_16_mean,bio_17_mean,bio_18_mean,bio_19_mean,Species,range_size_deg2
16.512272,11.691638,59.72859,245.65503,25.216452,5.650862,19.56559,19.286648,13.320849,19.304646,13.320849,1746.15,299.2,29.95,69.726036,846.25,111.05,824.8,111.05,Ischnocnema holti,3.994736167329998
18.733227,11.023486,62.05956,226.00224,26.540298,8.834301,17.706001,21.064419,15.783363,21.24676,15.774378,1602.65,286.65,31.35,71.0684,780.7,107.8,697.15,110.55,Ischnocnema juipoca,16.846685422758004
18.231075,8.797627,55.45461,241.27792,25.54945,9.699186,15.8502655,21.048304,15.255963,21.185463,15.255963,2124.3,294.5,77.4,46.88952,838.25,254.3,815.15,254.3,Ischnocnema parva,6.108446725964994
21.388464,11.881296,69.33926,158.2109,28.728895,11.580701,17.148197,22.501423,19.341831,22.628967,19.00828,1571.4,308.6,11.8,83.3143,816.4667,38.733334,637.8,52.066666,Ischnocnema penaxavantinho,7.8271121793050105
20.418375,11.724625,62.166622,236.07603,28.78125,9.92125,18.86,23.0185,17.307875,23.10279,17.307875,1515.0,268.0,24.0,73.53221,744.0,85.0,719.0,85.0,Ischnocnema pusilla,0.0
19.49651,11.518063,63.183647,214.90195,27.56375,9.33425,18.2295,21.208792,16.563875,21.83229,16.563875,1425.0,296.0,14.0,82.48232,760.0,49.0,591.0,49.0,Ischnocnema surda,0.0
23.470947,11.685354,68.93303,189.6261,32.0785,15.12675,16.951748,24.106874,21.20621,25.597332,20.989542,721.0,137.0,9.0,66.899475,314.0,34.0,241.0,54.0,Callulina shengena,0.0
14.476152,12.613173,37.204826,803.5446,31.348248,-2.6191623,33.967415,14.32489,12.340443,24.206213,4.331067,1245.05,132.7,76.95,15.353353,360.85,259.9,314.05,296.9,Anaxyrus americanus,157.82310801625198
14.8701935,14.840025,53.74575,484.24252,30.459797,2.811314,27.648483,9.746528,18.092981,21.378788,9.651894,347.65,67.2,1.2,79.11386,181.1,10.2,39.35,175.45,Anaxyrus californicus,14.499362836391992
3.4498954,14.187451,44.693096,633.61975,21.700602,-10.026976,31.727575,-2.9511273,11.254824,12.117197,-3.1084585,707.0,123.1,13.9,68.96239,331.2,46.2,57.4,327.45,Anaxyrus canorus,1.1954360596650118
17.821903,15.363727,43.522003,754.5005,35.061363,-0.33909997,35.400463,24.68615,10.144091,26.85058,8.275027,493.9,87.05,14.2,58.2127,204.8,53.4,175.65,58.85,Anaxyrus debilis,95.95742696452795
16.561543,12.543643,38.107628,775.16125,32.73745,-0.19841407,32.935863,17.036129,20.64598,25.914581,6.7755904,1278.25,135.55,76.75,16.99747,372.8,255.5,298.35,336.3,Anaxyrus fowleri,123.82417687197399
14.663088,17.6193,57.739063,479.22598,29.644861,-1.0522876,30.697153,19.791574,13.6760845,20.359932,8.731852,939.15,238.6,12.0,96.043434,576.1,46.65,531.6,139.85,Anaxyrus mexicanus,16.887038227007945
13.370555,16.98252,43.25428,819.55945,35.001106,-4.26075,39.261864,5.4271083,16.60554,23.788979,3.8360379,139.4,18.8,5.15,33.649376,47.65,21.45,36.7,44.85,Anaxyrus nelsoni,0.05413540917599626
21.215307,15.561589,47.260284,701.3279,38.83449,5.0012627,33.83323,18.888214,23.837223,30.004395,12.957029,253.35,56.8,2.25,77.41165,129.05,12.4,102.8,69.2,Anaxyrus punctatus,96.0414865228801
22.918804,11.458915,52.013653,399.19415,32.944893,10.978922,21.965965,27.38033,18.565296,27.449078,17.77594,1301.4,203.3,45.65,55.15785,557.15,157.2,533.7,165.85,Anaxyrus quercicus,4.840506512792
26.234407,8.576324,68.90085,78.97958,32.781803,20.330446,12.451355,26.06281,26.08753,27.342125,25.373621,3082.2727,529.0909,27.545454,73.10357,1443.5454,115.454544,537.8182,471.81818,Ansonia kraensis,1.465408827095981
22.961697,9.308386,81.03206,51.322044,28.853037,17.355125,11.497912,23.223703,22.64811,23.575253,22.30108,2308.3,279.5,113.0,30.190693,788.4,363.4,671.1,441.25,Ansonia muelleri,3.198330383307987
23.66061,7.474164,86.21669,43.341778,28.238638,19.567427,8.671211,23.470324,23.554012,24.192001,23.080345,2493.0,271.2,131.6,23.232264,766.3,439.7,649.5,573.3,Ansonia platysoma,3.7337823773680023
25.120844,8.669937,75.92721,73.44464,31.286,19.86725,11.418749,24.293333,25.00071,26.032875,24.190332,2043.0,359.0,45.0,51.79073,877.0,212.0,387.0,686.0,Ansonia siamensis,0.0
8.283841,10.058942,87.57976,35.381973,13.986875,2.501375,11.485499,8.561895,7.802214,8.63987,7.7940407,707.8,105.45,17.75,50.875103,309.9,71.3,266.1,76.1,Atelopus arthuri,0.017267211584000408
24.90698,9.148406,78.33647,50.806324,31.432194,19.753876,11.678325,24.858807,25.531912,25.531912,24.25793,2652.8,376.95,71.55,46.608624,1026.35,264.75,264.75,822.75,Atelopus barbotini,0.430080659999996
20.632704,9.890808,86.39482,43.940556,26.579453,15.131849,11.447599,20.215565,20.892166,21.107475,19.990992,2087.6,246.0,112.0,25.730545,693.0,359.2,428.4,640.2,Atelopus boulengeri,0.009399999999999985
17.75093,7.669065,75.90028,61.443695,22.466497,12.362088,10.104414,18.269968,17.10265,18.27576,16.870838,1176.7,169.5,30.5,50.21055,425.75,106.7,423.25,108.95,Atelopus carbonerensis,0.006499607399999917
15.927903,11.449735,83.34772,43.642166,22.657688,8.92175,13.735939,16.002323,15.319053,16.413635,15.319053,964.5,130.5,41.5,34.688778,329.0,133.5,276.5,133.5,Atelopus epikeisthos,0.0029892528289948246
20.410135,9.569729,91.75195,26.625942,25.71075,15.28075,10.43,20.067291,20.390667,20.701334,20.067291,1598.0,211.0,73.0,33.555927,519.0,281.0,422.0,519.0,Atelopus famelicus,0.0
25.170343,7.6884484,81.25646,43.292717,30.060648,20.594925,9.465725,24.992231,25.305649,25.76571,24.674707,2580.1,343.95,43.65,51.148598,948.6,177.6,495.3,782.35,Atelopus glyphus,0.15788530328000225
19.747963,10.145223,86.26394,34.567043,25.979038,14.217592,11.761447,19.84355,19.92566,20.068863,19.235594,1438.1052,172.6842,87.36842,23.20131,473.42105,274.05264,294.3684,382.42105,Atelopus halihelos,1.6371447453599868
17.35192,10.705626,86.6554,25.764277,23.457752,11.1035,12.35425,17.477627,17.315708,17.697836,17.093874,1765.0,240.0,49.0,44.030895,610.0,205.0,424.0,552.0,Atelopus monohernandezii,0.0
16.071457,8.632299,77.86059,63.598713,21.130733,10.042552,11.088185,16.035328,15.389722,16.79295,15.233874,1585.15,275.15,13.3,69.27333,669.1,62.35,468.8,69.6,Atelopus nahumae,0.31110576871200496
7.2356186,10.332663,83.74538,58.99928,13.452812,1.1125126,12.340301,7.652327,6.406081,7.693534,6.3699565,1114.95,139.5,53.8,28.645763,386.45,192.25,290.35,194.8,Atelopus nanay,0.004351350134999284
17.21553,8.242729,85.73004,38.880424,22.1105,12.49575,9.61475,17.219208,17.418875,17.602291,16.658583,1756.0,195.0,90.0,25.89449,542.0,306.0,406.0,465.0,Atelopus petriruizi,0.0
14.258322,10.057101,86.515785,42.31422,20.224728,8.5921135,11.632614,14.054855,14.316675,14.6257925,13.629267,1660.4546,200.36363,85.27273,26.88694,563.2727,277.81818,366.18182,510.27274,Atelopus planispina,3.4943202309599943
17.578312,9.49507,80.17744,64.41103,23.671898,11.830699,11.841199,17.617043,17.32712,18.297527,16.75259,2922.15,403.35,72.45,49.89421,1137.5,276.95,495.85,569.65,Atelopus senex,0.2865868299999925
16.306097,7.7876663,77.7358,55.359352,20.881649,10.86335,10.0183,16.617842,15.675558,16.774485,15.521883,1174.6,155.4,28.2,48.182507,423.8,101.8,378.2,106.6,Atelopus sorianoi,0.13934160290000056
13.54608,8.46103,76.892746,64.9631,18.518703,7.5169015,11.0018015,13.553549,12.8576565,14.281565,12.689403,1643.55,277.55,14.45,68.47995,679.7,68.8,465.7,78.55,Atelopus walkeri,0.037250729999998546
20.006298,5.7976503,31.868662,453.8063,29.108204,10.796475,18.311731,24.17892,15.6389065,25.266079,14.255478,2799.9,387.45,131.55,39.40336,1037.15,426.6,932.95,451.1,Bufo bankorensis,1.9169789672880075
9.212152,9.894038,27.006542,996.72656,26.197895,-10.536668,36.734566,20.596994,-3.6454291,20.935484,-3.6454291,1249.2,294.05,22.2,88.840485,720.05,79.65,698.5,79.65,Bufo stejnegeri,26.929486642466063
18.546848,11.564526,52.792828,389.89203,29.6562,7.688801,21.9674,21.46402,14.802942,23.219578,13.809334,1643.15,171.9,106.2,14.199303,466.1,350.8,441.8,361.7,Melanophryniscus devincenzii,26.159022526818006
16.318405,8.391437,43.195774,415.35214,26.635206,7.2168574,19.418348,11.4630165,19.454449,21.385084,11.323727,1132.1666,107.75,77.583336,9.282533,308.75,254.33333,275.16666,308.58334,Melanophryniscus montevidensis,0.9067355481450082
15.604921,12.403358,61.255013,242.59106,24.477987,4.2291994,20.248787,18.333832,12.430736,18.336025,12.430736,1781.45,317.15,25.7,73.95729,888.5,94.3,881.6,94.3,Melanophryniscus moreirae,0.03084163648000078
17.885141,10.691679,54.102917,335.2249,27.582922,7.908026,19.6749,19.054192,17.179361,21.871021,13.769612,1664.5,172.4,105.4,14.230868,466.0,372.8,447.95,395.05,Melanophryniscus tumifrons,15.647195472500027
9.827484,13.394644,85.648636,49.178516,17.030674,1.3798251,15.65085,10.2593155,9.119009,10.311359,9.119009,811.65,133.7,13.4,59.697887,339.75,45.0,284.75,45.0,Nannophryne cophotis,3.2568507759259773
21.963926,9.014104,82.73236,45.26176,27.69875,16.80325,10.8955,21.69654,21.612791,22.537958,21.506124,2011.0,317.0,54.0,51.228256,864.0,224.0,424.0,249.0,Oreophrynella seegobini,0.0
25.78716,7.699144,88.93819,37.92492,30.376123,21.718563,8.657561,25.431543,25.998611,26.273346,25.309961,3407.75,350.75,226.5,16.364899,1026.75,699.5,809.25,897.75,Pelophryne api,0.009658908941000416
26.179363,8.192122,87.83181,44.632954,31.18565,21.860415,9.325236,25.658667,26.499542,26.688278,25.580936,3708.2,556.75,179.0,37.377106,1430.55,589.0,711.0,1390.45,Pelophryne signata,94.785759712896
25.34524,8.965371,62.10244,193.51456,32.007107,17.570908,14.436201,26.949215,22.752089,27.451126,22.752089,1352.8572,207.85715,28.714285,59.06614,540.8571,137.14285,527.8571,137.14285,Peltophryne cataulaciceps,0.01242835999999959
25.948381,9.03915,62.64045,183.36708,32.727093,18.27961,14.447486,27.097734,23.681475,28.059336,23.546892,1068.8889,165.5,25.38889,56.818707,426.05554,96.05556,358.6111,107.166664,Peltophryne empusa,18.32476852793601
25.181767,9.0695715,61.455215,200.04218,31.91023,17.152012,14.75822,27.082445,22.582523,27.425154,22.582523,1119.0,201.61111,13.944445,70.365685,504.72223,67.72222,475.1111,67.72222,Peltophryne florentinoi,0.07400382881099658
24.103819,11.041776,74.97283,121.271996,31.202793,16.47299,14.7298,24.99029,22.854443,25.473274,22.467361,1013.7,162.25,24.1,57.594776,404.3,87.5,304.5,95.4,Peltophryne guentheri,1.5064610106203975
21.300665,13.428905,63.447235,270.41153,30.696192,9.429602,21.266586,23.41453,17.410273,23.815649,17.410273,255.1,70.75,0.0,117.048294,181.9,0.5,106.2,0.5,Poyntonophrynus damaranus,17.866887999999996
22.059872,12.185289,65.267624,229.70728,30.458078,11.873718,18.584358,24.107353,18.813843,24.22447,18.7307,235.6875,72.75,0.0,119.09074,166.5,0.5,130.4375,0.5,Poyntonophrynus dombensis,24.830716536010005
20.32536,13.7557955,59.0671,344.54938,29.904001,6.5960875,23.307913,23.797247,15.573611,23.86677,15.573611,662.25,125.05,6.55,82.18352,352.65,22.85,335.75,22.85,Poyntonophrynus fenoulheti,32.13999588761498
23.452017,11.854128,70.41815,119.20244,31.933222,15.094447,16.838772,23.670685,21.973515,24.90041,21.926136,687.3,152.4,1.0,100.82847,391.8,5.1,83.5,5.9,Poyntonophrynus parkeri,4.3555030162400055
25.645624,9.130785,80.06935,56.83671,31.74581,20.304499,11.441313,25.413048,26.054836,26.33518,24.936821,2823.25,385.95,109.15,40.619846,1044.25,372.3,453.85,782.45,Rhaebo guttatus,520.9517970975121
22.361092,9.669306,84.07176,53.16384,28.448614,16.911362,11.5372505,22.02827,22.733524,22.969109,21.651182,2660.95,319.5,123.05,30.187094,898.3,411.4,471.35,786.7,Rhinella acutirostris,64.89241441125498
16.70896,10.504465,83.75781,29.89384,23.328552,10.7873125,12.541237,16.80951,16.397888,16.997843,16.263697,939.85,154.5,36.4,46.70866,396.7,127.45,205.85,133.8,Rhinella amabilis,0.20498096874400654
15.00802,10.461708,82.33352,43.73833,21.21625,8.50975,12.706499,15.025208,14.422167,15.537458,14.422167,1204.0,157.0,60.0,29.504414,399.0,191.0,336.0,191.0,Rhinella arborescandens,0.0
13.96079,10.012674,56.74936,289.09836,23.358364,5.741599,17.616766,10.539872,17.390394,17.619059,10.539872,131.05,38.6,0.15,109.790565,91.95,0.9,1.1,91.95,Rhinella atacamensis,6.14325857426098
21.072428,9.577632,64.07544,185.72849,28.256947,13.173673,15.083278,22.103876,19.428877,23.22197,18.652119,1396.0,224.7,40.25,58.115456,618.2,136.35,420.15,257.4,Rhinella crucifer,192.54795603935997
24.488613,8.8324585,80.317154,58.447205,29.904514,18.885763,11.018749,24.52287,24.72315,25.064884,23.643063,2344.0,304.75,112.55,44.750587,852.1,351.05,523.6,569.75,Rhinella dapsilis,138.947319237363
13.538205,13.559419,77.882866,84.47421,21.516151,4.0787916,17.437363,13.923656,12.365934,14.372311,12.327892,1140.0555,189.05556,23.555555,66.309204,538.3333,89.22222,327.3889,90.22222,Rhinella inca,15.21743277109999
17.481604,12.640958,80.27152,64.36614,24.62275,8.875,15.747749,17.605207,16.56275,18.162624,16.56275,1128.0,171.0,26.0,56.783596,487.0,90.0,343.0,90.0,Rhinella iserni,0.00026232241000008613
16.397371,10.009813,65.23146,196.56595,23.98962,8.718153,15.271467,17.096859,15.181726,18.87048,14.052668,135.6,38.8,0.15,89.6902,93.6,1.4,92.25,4.75,Rhinella limensis,9.790289516736001
25.425621,10.543073,69.164566,149.06706,32.82056,17.1157,15.704863,26.343765,23.7875,26.985266,23.48256,1893.15,293.7,44.0,59.10032,815.5,153.9,492.1,268.35,Rhinella major,550.8106396004882
24.831875,12.140513,69.577835,88.625275,33.077923,15.5852375,17.492685,24.966494,23.89679,25.762905,23.667675,1672.8,283.05,7.3,78.91888,803.25,30.95,349.9,101.5,Rhinella ocellata,140.5713094816269
19.174778,9.473437,55.41526,267.5482,27.071758,10.057654,17.014107,22.308191,16.062504,22.353842,15.835268,1628.25,227.15,64.8,43.352028,639.15,215.7,624.5,222.1,Rhinella ornata,24.27786412329301
25.268711,9.060228,85.917946,45.3134,30.579136,20.03875,10.540387,25.02047,25.528484,25.762045,24.645758,3163.1,340.05,193.85,19.240166,975.1,601.55,699.55,838.6,Rhinella roqueana,35.147127056115956
16.040144,8.43107,90.55341,28.204256,20.747816,11.436909,9.310907,15.791455,15.8256035,16.350649,15.676889,2551.7273,296.63635,138.72728,25.079473,777.1818,445.63635,728.9091,694.5455,Rhinella rostrata,0.05968207046399974
19.702791,11.569193,66.04634,173.70901,27.345974,9.816275,17.5297,21.080112,17.340092,21.406605,17.295328,1505.95,282.85,12.8,81.10991,767.1,45.0,573.65,54.7,Rhinella rubescens,39.58744899144795
16.764729,8.892126,90.54576,33.42472,21.7698,11.941977,9.827825,16.570126,16.51873,17.13464,16.34032,2431.05,300.2,93.7,33.679634,789.65,342.35,671.65,658.6,Rhinella ruizi,0.44698535010599916
23.416874,11.772985,63.650238,246.93289,31.575779,13.072662,18.503113,25.843594,20.119244,25.850073,20.095646,1377.05,202.9,36.65,48.205627,557.3,133.95,556.75,168.15,Rhinella scitula,0.7416116080949992
25.036364,8.338646,74.26653,92.532555,30.70625,19.47825,11.227999,25.565708,23.919834,25.986458,23.78725,684.0,113.0,13.0,53.34959,286.0,53.0,243.0,101.0,Rhinella sclerocephala,0.0
7.4841423,13.743927,58.62514,368.36795,19.830814,-3.9628372,23.793652,5.869998,9.506824,11.849297,2.8073354,589.05,116.25,10.6,86.87141,306.25,40.6,114.7,208.15,Rhinella spinulosa,359.19757768295966
20.711279,8.918712,88.139084,31.461416,25.938122,15.810301,10.127825,20.482565,20.86637,21.085184,20.312336,2983.25,352.3,122.5,29.831097,919.55,438.25,763.4,875.9,Rhinella tenrec,0.4513511623620022
22.607237,12.758285,70.49927,127.754166,30.873766,12.769899,18.103865,23.274126,20.911419,23.86729,20.817709,1279.2,259.93332,2.5333333,90.084724,683.3333,10.866667,411.93332,22.133333,Rhinella veredas,23.394739360814995
22.874832,13.16508,52.576763,419.8825,34.52178,9.453575,25.068201,26.960617,18.084764,27.513172,17.371645,772.25,139.1,5.85,79.663864,391.35,26.45,381.65,35.0,Lepidobatrachus llanensis,29.13154337501098
5.4958124,13.201625,80.98908,88.91083,12.72975,-3.57075,16.300499,6.3937917,4.278375,6.3937917,4.278375,876.0,152.0,13.0,62.372787,392.0,49.0,392.0,49.0,Telmatobius carrillae,0.0
10.971552,13.624896,85.41451,37.52265,18.42175,2.47025,15.951499,11.2283745,10.435208,11.334916,10.435208,961.0,161.0,16.0,61.43909,401.0,55.0,312.0,55.0,Telmatobius degener,0.0
15.642593,13.894313,70.526825,191.05159,24.27225,4.5715,19.700748,17.479458,13.178083,17.48375,13.015292,815.0,154.0,19.0,76.26706,423.0,59.0,363.0,66.0,Telmatobius edaphonastes,0.0
13.244481,14.645159,56.942307,410.2904,25.119318,-0.7155,25.83482,17.72047,8.10225,17.885525,7.9002457,345.55554,75.888885,2.5,94.08491,211.0,11.222222,200.55556,12.777778,Telmatobius hauthali,56.040964192500134
10.223329,17.149746,67.645966,223.01839,21.40175,-3.9520748,25.353827,11.94429,7.2382355,12.58383,7.2223806,857.5,174.7,11.6,78.12853,447.8,50.25,288.9,55.85,Telmatobius hintoni,0.17234359765399618
9.759042,14.616667,78.17654,119.068275,18.32625,-0.37074998,18.697,10.811167,8.040375,10.907333,8.040375,611.0,158.0,3.0,110.91899,429.0,14.0,324.0,14.0,Telmatobius intermedius,0.0
9.031174,13.727834,77.95675,76.365456,16.743359,-0.86746246,17.61082,9.49365,7.9012756,9.721346,7.9012756,767.15,125.15,10.25,66.853294,359.05,39.6,261.4,39.6,Telmatobius jelskii,0.05976302927400096
13.30404,13.992768,61.504177,342.33643,23.896944,0.6709616,23.225983,17.12585,9.05284,17.12915,8.825927,345.23077,95.69231,1.3076923,110.71094,236.38461,6.076923,230.23077,7.8461537,Telmatobius laticeps,331.8237309010889
16.289812,12.441958,86.958046,48.362595,23.19675,8.88875,14.308001,16.71729,15.626166,16.744457,15.626166,845.0,140.0,28.0,45.49616,337.0,100.0,303.0,100.0,Telmatobius latirostris,0.0
6.052405,13.018257,77.46222,97.74652,13.3942995,-3.40265,16.796951,6.954768,4.644923,6.962999,4.644923,963.8,150.1,13.45,63.19738,436.35,56.05,431.3,56.05,Telmatobius macrostomus,0.20660589136800192
4.458302,13.908333,79.91882,99.812004,11.924625,-5.480875,17.4055,5.4938955,3.0420418,5.4938955,3.0420418,716.5,146.0,5.5,76.86087,365.5,27.5,365.5,27.5,Telmatobius mayoloi,0.01944433888900007
8.063579,9.99896,84.16228,51.530357,14.099411,2.2103379,11.889074,8.433872,7.3433213,8.455894,7.3072753,1027.85,131.75,47.65,31.490162,368.25,177.55,258.95,187.6,Telmatobius niger,1.3888002479999997
14.170965,14.243425,58.271385,354.84326,24.683887,0.32865,24.355238,17.702793,10.381079,17.802076,9.366453,515.25,113.0,3.45,102.67647,309.0,13.5,294.85,14.75,Telmatobius oxycephalus,6.570858999900002
9.833137,12.573439,79.91381,55.915337,16.7005,0.9667501,15.73375,10.057374,9.003999,10.383332,9.003999,964.0,147.0,20.0,57.774597,424.0,74.0,292.0,74.0,Telmatobius punctatus,0.00089382849999999
8.884772,14.295122,59.301624,361.46542,19.944576,-4.166375,24.110947,12.868505,4.42715,12.923139,4.1408873,267.1,62.8,1.1,103.78902,174.2,5.7,174.0,6.6,Telmatobius schreiteri,4.500980061263973
17.697754,13.682032,70.36262,193.9581,26.4165,6.944875,19.471626,19.590437,15.19725,19.623436,15.057292,612.5,120.5,8.5,83.041885,337.5,33.5,310.0,37.0,Telmatobius sibiricus,0.006123890000000204
18.624668,12.874933,65.33834,236.05034,27.447361,7.7502494,19.697113,20.807835,15.703174,20.984884,15.431343,713.5,130.6,8.05,81.19364,375.6,33.9,302.55,43.75,Telmatobius simonsi,3.791945888889025
12.32023,14.009333,52.808636,458.4662,24.701874,-1.82775,26.529623,17.566813,6.385667,17.566813,6.385667,360.0,80.5,2.0,97.289406,216.5,9.0,216.5,9.0,Telmatobius stephani,0.00018197520000016692
10.971553,13.624896,85.41451,37.52265,18.42175,2.47025,15.951499,11.2283745,10.435208,11.334916,10.435208,961.0,161.0,16.0,61.43909,401.0,55.0,312.0,55.0,Telmatobius thompsoni,0.0
14.942792,14.239,47.300934,579.4143,31.38775,1.28475,30.103,21.219791,7.89075,22.254917,7.89075,591.0,75.0,19.0,36.79391,196.0,67.0,180.0,67.0,Telmatobius verrucosus,0.0
15.354838,14.13385,70.36322,192.77411,24.186344,4.0929685,20.093372,17.170605,12.863396,17.246687,12.716948,800.125,152.75,17.625,77.74692,418.875,55.125,345.75,61.25,Telmatobius yuracare,0.17728770206699643
25.760334,11.028708,91.03913,35.361797,31.99525,19.881,12.11425,25.299292,25.991917,26.082167,25.260166,2945.0,377.0,156.0,29.426332,1055.0,518.0,543.0,936.0,Ceuthomantis aracamuni,0.0
23.422068,8.550834,80.81081,54.94737,28.922834,18.342,10.580834,23.391127,23.668402,24.110361,22.751318,2200.6667,353.33334,83.666664,53.21989,977.0,280.66666,348.0,329.33334,Ceuthomantis smaragdinus,0.18995915617600073
22.454605,12.69073,69.73533,150.79819,31.40963,13.150224,18.259405,23.20883,21.13968,24.141039,20.41103,1272.0,255.26315,10.421053,94.339386,673.2632,38.63158,371.05264,53.263157,Craugastor amniscola,8.674332260058979
20.03626,9.010172,79.189316,66.79468,25.932526,14.554463,11.378062,20.004972,20.42302,20.860134,19.220308,3416.5,409.95,103.1,38.638283,1179.0,387.1,553.15,829.65,Craugastor andi,2.1388377780000103
20.01353,9.12252,77.56854,69.94683,26.222061,14.455852,11.7662115,19.866001,20.448063,20.922976,19.203362,3066.6,420.15,77.45,50.560658,1190.6,269.0,457.05,640.4,Craugastor angelicus,0.20240169107999706
24.636057,9.094879,67.92955,152.28723,31.401669,18.014107,13.387561,25.885231,24.32621,26.090757,22.547115,2494.5,397.5,67.5,53.73765,1047.0,223.5,716.0,402.0,Craugastor aphanus,2.1419999999957284e-05
17.632732,14.664679,60.733654,313.30945,29.439035,4.728938,24.7101,19.971598,14.9133,21.159895,13.49467,841.8,176.45,11.2,88.206375,477.5,39.8,296.25,53.55,Craugastor augusti,71.59607588674209
23.890228,9.672505,67.50219,157.95792,31.136047,16.805443,14.330603,23.878864,24.290003,25.56007,21.748857,1532.65,220.1,42.55,47.965305,602.6,161.45,306.25,338.75,Craugastor aurilegulus,1.0057824062300047
24.087475,7.7430105,80.10435,55.28459,29.090752,19.4275,9.663251,23.573479,24.47871,24.863293,23.5075,3248.0,423.5,31.0,42.07585,1148.5,320.5,466.5,1015.0,Craugastor azueroensis,0.048031956000000625
18.443829,14.711615,63.416237,277.4834,29.862375,6.679875,23.182499,20.39052,15.8411255,21.338938,14.646105,611.0,119.0,12.0,73.064896,297.5,43.5,192.5,47.0,Craugastor batrachylus,1.2378892163340296
24.507294,9.708539,57.76048,224.6624,33.5484,16.74937,16.799023,25.996756,23.924541,26.817287,21.383646,3228.65,507.3,67.4,60.301544,1407.8,273.85,919.4,499.9,Craugastor berkenbuschii,5.649644423904022
19.377003,10.139212,70.29545,126.29228,26.658438,12.248999,14.409439,20.11897,19.212303,20.721893,17.656322,2847.6,413.45,88.65,55.295673,1148.3,285.65,685.95,376.25,Craugastor bocourti,0.48057774810000087
24.538124,8.67901,77.447,75.553566,30.473413,19.269981,11.203433,24.619888,25.123268,25.584713,23.696156,3491.5789,435.5263,117.47369,37.979572,1183.8948,420.5263,569.0,962.9474,Craugastor bransfordii,1.659161010389993
17.336813,9.056067,69.20905,126.398705,23.966702,10.897751,13.06895,18.185032,16.700768,18.656826,15.613953,2155.5,340.25,59.8,60.395103,916.7,201.05,563.4,253.85,Craugastor brocchi,1.1335556100479975
23.755678,9.276459,67.61713,147.42337,30.804626,17.084951,13.719675,24.822952,23.373133,25.26304,21.761925,2125.25,352.25,51.5,63.22171,910.0,172.75,666.5,291.25,Craugastor campbelli,0.4466333677680053
