sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
5.706;-4.059;7.353;5.455;-0.62;8.125;0.291;3.533;1.33;-2.0541;-0.0806;0.9404;7048.0;-9.0;31.08;-32.16;334.86;-0.08;-33.6;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;212;2020-02-12 14:01:53:012
5.706;-4.059;7.353;5.455;-0.62;8.125;0.291;3.533;1.33;-2.0541;-0.0806;0.9404;7048.0;-9.0;31.08;-32.16;334.86;-0.08;-33.6;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;222;2020-02-12 14:01:53:022
9.823;-3.446;9.727;5.455;-0.62;8.125;0.291;3.533;1.33;-2.0541;-0.0806;0.9404;7048.0;-9.0;31.08;-32.16;334.86;-0.08;-33.6;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;233;2020-02-12 14:01:53:033
9.823;-3.446;9.727;5.455;-0.62;8.125;-5.492;1.998;-2.401;-2.0541;-0.0806;0.9404;7048.0;-9.0;31.08;-32.16;334.86;-0.08;-33.6;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;242;2020-02-12 14:01:53:042
9.823;-3.446;9.727;5.627;-1.372;7.912;-5.492;1.998;-2.401;-1.5105;-1.0435;0.6651;7048.0;-11.34;31.56;-30.35;345.79;3.63;-33.88;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;252;2020-02-12 14:01:53:052
14.629;-1.474;10.149;5.627;-1.372;7.912;-5.492;1.998;-2.401;-1.5105;-1.0435;0.6651;7048.0;-11.34;31.56;-30.35;345.79;3.63;-33.88;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;263;2020-02-12 14:01:53:063
14.629;-1.474;10.149;5.627;-1.372;7.912;-9.122;-0.47;-1.182;-1.5105;-1.0435;0.6651;7048.0;-11.34;31.56;-30.35;345.79;3.63;-33.88;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;272;2020-02-12 14:01:53:072
14.629;-1.474;10.149;5.983;-1.647;7.592;-9.122;-0.47;-1.182;-0.8856;-1.7723;-0.1243;7048.0;-11.64;32.64;-28.92;345.79;3.63;-33.88;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;282;2020-02-12 14:01:53:082
14.629;-1.474;10.149;5.983;-1.647;7.592;-9.122;-0.47;-1.182;-0.8856;-1.7723;-0.1243;7048.0;-11.64;32.64;-28.92;345.79;3.63;-33.88;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;293;2020-02-12 14:01:53:093
12.542;-1.187;7.755;5.983;-1.647;7.592;-9.122;-0.47;-1.182;-0.8856;-1.7723;-0.1243;7048.0;-11.64;32.64;-28.92;345.79;3.63;-33.88;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;303;2020-02-12 14:01:53:103
12.542;-1.187;7.755;5.983;-1.647;7.592;-5.49;-0.34;-0.034;-0.8856;-1.7723;-0.1243;7048.0;-8.88;33.18;-28.85;338.6;9.67;-38.24;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;312;2020-02-12 14:01:53:112
12.542;-1.187;7.755;6.577;-1.669;7.079;-5.49;-0.34;-0.034;-0.5796;-1.8857;-0.9306;7048.0;-8.88;33.18;-28.85;338.6;9.67;-38.24;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;322;2020-02-12 14:01:53:122
11.202;-2.202;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-8.09;33.54;-29.82;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;344;2020-02-12 14:01:53:144
12.083;-2.412;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-8.09;33.54;-29.82;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;384;2020-02-12 14:01:53:184
12.083;-2.412;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-8.09;33.54;-29.82;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;384;2020-02-12 14:01:53:184
12.083;-2.412;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-8.09;33.54;-29.82;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;384;2020-02-12 14:01:53:184
12.083;-2.412;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-8.09;33.54;-29.82;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;384;2020-02-12 14:01:53:184
12.083;-2.412;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-8.09;33.54;-29.82;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;384;2020-02-12 14:01:53:184
12.083;-2.412;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-8.09;33.54;-29.82;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;393;2020-02-12 14:01:53:193
12.083;-2.412;6.587;6.871;-1.607;6.809;-4.978;0.898;0.326;-0.4622;-1.8686;-0.9382;7048.0;-6.78;33.0;-32.57;333.21;9.8;-42.89;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;402;2020-02-12 14:01:53:202
10.646;-3.37;1.225;7.706;-1.504;5.875;-2.971;1.872;4.349;0.0886;-2.2808;0.2524;1475.0;-6.78;33.0;-32.57;333.21;9.8;-42.89;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;413;2020-02-12 14:01:53:213
10.646;-3.37;1.225;7.706;-1.504;5.875;-2.971;1.872;4.349;0.0886;-2.2808;0.2524;1475.0;-6.78;33.0;-32.57;333.21;9.8;-42.89;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;422;2020-02-12 14:01:53:222
10.646;-3.37;1.225;7.706;-1.504;5.875;-2.971;1.872;4.349;0.0886;-2.2808;0.2524;1475.0;-6.78;33.0;-32.57;333.21;9.8;-42.89;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;432;2020-02-12 14:01:53:232
10.646;-3.37;1.225;7.706;-1.504;5.875;-2.971;1.872;4.349;0.0886;-2.2808;0.2524;1475.0;-6.78;33.0;-32.57;333.21;9.8;-42.89;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;443;2020-02-12 14:01:53:243
13.117;-3.255;-2.24;8.281;-1.683;4.975;-4.508;1.693;6.936;0.688;-3.3831;1.0766;1475.0;-8.04;30.66;-34.8;318.96;8.82;-52.68;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;452;2020-02-12 14:01:53:252
13.117;-3.255;-2.24;8.281;-1.683;4.975;-4.508;1.693;6.936;0.688;-3.3831;1.0766;1475.0;-8.04;30.66;-34.8;318.96;8.82;-52.68;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;462;2020-02-12 14:01:53:262
13.117;-3.255;-2.24;8.281;-1.683;4.975;-4.508;1.693;6.936;0.688;-3.3831;1.0766;1475.0;-8.04;30.66;-34.8;318.96;8.82;-52.68;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;473;2020-02-12 14:01:53:273
13.117;-3.255;-2.24;8.281;-1.683;4.975;-4.508;1.693;6.936;0.688;-3.3831;1.0766;1475.0;-8.04;30.66;-34.8;318.96;8.82;-52.68;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;482;2020-02-12 14:01:53:282
13.117;-3.255;-2.24;8.281;-1.683;4.975;-4.508;1.693;6.936;0.688;-3.3831;1.0766;1475.0;-8.04;30.66;-34.8;318.96;8.82;-52.68;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;492;2020-02-12 14:01:53:292
13.117;-3.255;-2.24;8.281;-1.683;4.975;-4.508;1.693;6.936;0.688;-3.3831;1.0766;1475.0;-8.04;30.66;-34.8;318.96;8.82;-52.68;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;502;2020-02-12 14:01:53:302
13.117;-3.255;-2.24;8.281;-1.683;4.975;-4.508;1.693;6.936;0.688;-3.3831;1.0766;1475.0;-8.04;30.66;-34.8;318.96;8.82;-52.68;5.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;512;2020-02-12 14:01:53:312
13.423;-2.374;-3.044;8.608;-1.776;4.347;-4.997;0.784;7.344;0.9703;-4.0705;1.0118;1475.0;-9.0;29.04;-36.05;312.54;9.88;-59.0;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;522;2020-02-12 14:01:53:322
13.423;-2.374;-3.044;8.608;-1.776;4.347;-4.997;0.784;7.344;0.9703;-4.0705;1.0118;1475.0;-9.0;29.04;-36.05;312.54;9.88;-59.0;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;532;2020-02-12 14:01:53:332
13.423;-2.374;-3.044;8.608;-1.776;4.347;-4.997;0.784;7.344;0.9703;-4.0705;1.0118;1475.0;-9.0;29.04;-36.05;312.54;9.88;-59.0;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;542;2020-02-12 14:01:53:342
9.497;-3.178;-1.417;9.545;-1.947;1.126;0.106;1.185;2.651;1.396;-4.1744;0.3514;1475.0;-13.79;25.08;-37.55;312.54;9.88;-59.0;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;552;2020-02-12 14:01:53:352
9.497;-3.178;-1.417;9.545;-1.947;1.126;0.106;1.185;2.651;1.396;-4.1744;0.3514;1475.0;-13.79;25.08;-37.55;312.54;9.88;-59.0;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;563;2020-02-12 14:01:53:363
9.497;-3.178;-1.417;9.545;-1.947;1.126;0.106;1.185;2.651;1.396;-4.1744;0.3514;1475.0;-13.79;25.08;-37.55;312.54;9.88;-59.0;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;572;2020-02-12 14:01:53:372
8.004;-3.197;-1.282;9.585;-2.07;-0.026;1.44;1.184;1.171;1.396;-4.1744;0.3514;1475.0;-14.88;24.48;-36.78;298.74;12.19;-90.16;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;582;2020-02-12 14:01:53:382
8.004;-3.197;-1.282;9.585;-2.07;-0.026;1.44;1.184;1.171;1.396;-4.1744;0.3514;1475.0;-14.88;24.48;-36.78;298.74;12.19;-90.16;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;592;2020-02-12 14:01:53:392
8.004;-3.197;-1.282;9.585;-2.07;-0.026;1.44;1.184;1.171;1.5438;-2.5216;0.6329;1475.0;-14.88;24.48;-36.78;298.74;12.19;-90.16;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;602;2020-02-12 14:01:53:402
8.004;-3.197;-1.282;9.585;-2.07;-0.026;1.44;1.184;1.171;1.5438;-2.5216;0.6329;787.0;-14.88;24.48;-36.78;298.74;12.19;-90.16;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;612;2020-02-12 14:01:53:412
7.41;-1.991;0.268;9.49;-2.37;-0.687;2.394;-0.327;0.265;1.5438;-2.5216;0.6329;787.0;-15.54;24.24;-37.25;298.74;12.19;-90.16;0.0;39.79;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;622;2020-02-12 14:01:53:422
7.41;-1.991;0.268;9.49;-2.37;-0.687;2.394;-0.327;0.265;1.4702;-1.2524;0.7423;787.0;-15.54;24.24;-37.25;298.74;12.19;-90.16;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;633;2020-02-12 14:01:53:433
7.41;-1.991;0.268;9.49;-2.37;-0.687;2.394;-0.327;0.265;1.4702;-1.2524;0.7423;787.0;-15.54;24.24;-37.25;298.74;12.19;-90.16;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;642;2020-02-12 14:01:53:442
3.638;-2.968;2.853;9.411;-2.634;-0.813;5.202;0.157;-3.06;1.4702;-1.2524;0.7423;787.0;-16.08;24.0;-37.25;297.81;13.99;-94.14;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;652;2020-02-12 14:01:53:452
3.638;-2.968;2.853;9.411;-2.634;-0.813;5.202;0.157;-3.06;1.4702;-1.2524;0.7423;787.0;-16.08;24.0;-37.25;297.81;13.99;-94.14;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;662;2020-02-12 14:01:53:462
3.638;-2.968;2.853;9.411;-2.634;-0.813;5.202;0.157;-3.06;1.6395;0.4426;1.2708;787.0;-16.08;24.0;-37.25;297.81;13.99;-94.14;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;673;2020-02-12 14:01:53:473
3.638;-2.968;2.853;9.411;-2.634;-0.813;5.202;0.157;-3.06;1.6395;0.4426;1.2708;787.0;-16.61;23.46;-37.91;297.81;13.99;-94.14;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;682;2020-02-12 14:01:53:482
5.112;-2.757;0.019;9.269;-3.17;-0.433;4.625;-0.132;-1.359;1.6395;0.4426;1.2708;787.0;-16.61;23.46;-37.91;297.81;13.99;-94.14;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;692;2020-02-12 14:01:53:492
5.112;-2.757;0.019;9.269;-3.17;-0.433;4.625;-0.132;-1.359;1.6126;0.7356;1.4108;787.0;-16.61;23.46;-37.91;297.81;13.99;-94.14;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;702;2020-02-12 14:01:53:502
5.112;-2.757;0.019;9.269;-3.17;-0.433;4.625;-0.132;-1.359;1.6126;0.7356;1.4108;787.0;-17.34;22.85;-36.96;294.03;18.86;-92.67;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;712;2020-02-12 14:01:53:512
5.112;-2.757;0.019;9.269;-3.17;-0.433;4.625;-0.132;-1.359;1.6126;0.7356;1.4108;787.0;-17.34;22.85;-36.96;294.03;18.86;-92.67;0.0;39.79;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;723;2020-02-12 14:01:53:523
11.24;-3.619;-1.282;9.12;-3.604;-0.011;-1.83;-0.008;1.405;1.6126;0.7356;1.4108;787.0;-17.34;22.85;-36.96;294.03;18.86;-92.67;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;732;2020-02-12 14:01:53:532
11.24;-3.619;-1.282;9.12;-3.604;-0.011;-1.83;-0.008;1.405;1.0426;0.4029;0.6659;787.0;-17.34;22.85;-36.96;294.03;18.86;-92.67;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;743;2020-02-12 14:01:53:543
11.24;-3.619;-1.282;9.12;-3.604;-0.011;-1.83;-0.008;1.405;1.0426;0.4029;0.6659;787.0;-18.42;22.14;-36.48;294.03;18.86;-92.67;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;752;2020-02-12 14:01:53:552
10.646;-3.791;-0.21;9.062;-3.743;0.157;-1.752;0.178;0.403;1.0426;0.4029;0.6659;787.0;-18.42;22.14;-36.48;294.03;18.86;-92.67;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;762;2020-02-12 14:01:53:562
10.646;-3.791;-0.21;9.062;-3.743;0.157;-1.752;0.178;0.403;0.6699;-0.1785;0.1815;787.0;-18.42;22.14;-36.48;294.03;18.86;-92.67;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;772;2020-02-12 14:01:53:572
10.646;-3.791;-0.21;9.062;-3.743;0.157;-1.752;0.178;0.403;0.6699;-0.1785;0.1815;787.0;-18.42;22.14;-36.48;294.03;18.86;-92.67;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;782;2020-02-12 14:01:53:582
10.646;-3.791;-0.21;9.062;-3.743;0.157;-1.752;0.178;0.403;0.6699;-0.1785;0.1815;787.0;-18.71;20.93;-36.59;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;792;2020-02-12 14:01:53:592
8.961;-5.495;-1.627;9.046;-3.785;0.015;0.125;1.88;1.159;0.6699;-0.1785;0.1815;787.0;-18.71;20.93;-36.59;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;802;2020-02-12 14:01:53:602
8.961;-5.495;-1.627;9.046;-3.785;0.015;0.125;1.88;1.159;0.4236;-1.2252;0.0907;0.0;-18.71;20.93;-36.59;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;813;2020-02-12 14:01:53:613
8.961;-5.495;-1.627;9.046;-3.785;0.015;0.125;1.88;1.159;0.4236;-1.2252;0.0907;0.0;-18.71;20.93;-36.59;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;822;2020-02-12 14:01:53:622
10.378;-4.806;-3.389;9.024;-3.826;-0.278;-0.945;1.062;3.276;0.4236;-1.2252;0.0907;0.0;-18.48;20.1;-37.32;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;832;2020-02-12 14:01:53:632
10.378;-4.806;-3.389;9.024;-3.826;-0.278;-0.945;1.062;3.276;0.4236;-1.2252;0.0907;0.0;-18.48;20.1;-37.32;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;842;2020-02-12 14:01:53:642
10.378;-4.806;-3.389;9.024;-3.826;-0.278;-0.945;1.062;3.276;0.4867;-1.2439;0.2247;0.0;-18.48;20.1;-37.32;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;852;2020-02-12 14:01:53:652
10.378;-4.806;-3.389;9.024;-3.826;-0.278;-0.945;1.062;3.276;0.4867;-1.2439;0.2247;0.0;-18.48;20.1;-37.32;288.0;22.44;-89.01;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;862;2020-02-12 14:01:53:662
10.838;-4.997;-0.555;8.964;-3.924;-0.634;-1.945;0.774;-0.062;0.4867;-1.2439;0.2247;0.0;-18.0;19.79;-37.25;287.51;22.97;-91.76;0.0;33.728;22.496693;88.37136;34.19;NaN;0.0;26.451612;0.0;9 / 9;872;2020-02-12 14:01:53:672
