Food,Satiety_Index,GI_value,Water_g,Protein_g,Fiber_g,Carbohydrate_g,Fat_g,Energy_kcal,SI_imputed,Avail_Carb_g,GL,Fiber_to_Carb_Ratio,Energy_Density,Protein_Energy_Fraction,Water_Energy_Ratio,cat_animal,cat_bakery,cat_carbohydrate-rich,cat_dairy,cat_fruit,cat_grains,cat_protein-rich,cat_seafood,cat_snacks,"cat_vege, spices and fruit",cat_vegetable,prep_Boiled,prep_Raw,prep_Ultra-processed,prep_Unknown,Satiety_Tier
premium crispy chicken classic sandwich mcdonalds,120.88721432793304,37.93272244128302,119.6,27.8,0.0,58.6,20.0,524,True,58.6,22.22857535059185,0.0,5.24,0.21221374005302723,0.2282442743735796,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
original taco with beef cheese lettuce taco bell,54.6495122330668,37.2339595547388,39.3,6.1,0.0,13.7,8.8,158,True,13.7,5.101052458999216,0.0,1.58,0.15443037876942797,0.24873417564092293,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,LOW
hotdog roll,164.5222445481054,36.1780423988941,14.4,4.1,0.0,21.1,1.6,117,True,21.1,7.633566946166655,0.0,1.17,0.14017093897289795,0.12307692202498358,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,HIGH
safflower oil,139.62838201195729,58.54106784308928,0.0,0.0,0.0,0.0,13.6,120,True,0.0,0.0,0.0,1.2,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
pork pancreas cooked,52.71188998591336,81.51010264538971,147.7,69.8,0.0,0.0,26.5,537,True,0.0,0.0,0.0,5.37,0.5199255111360791,0.2750465544226321,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,LOW
chewing gum,153.3114918976686,58.20548363605252,0.067,0.0,0.0,2.9,0.032,11,True,2.9,1.687959025445523,0.0,0.11,0.0,0.0060909085371901334,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
pork backribs raw,138.9724540402246,44.52821384074191,679.8,204.2,0.0,0.0,174.9,2399,True,0.0,0.0,0.0,23.99,0.3404751978572425,0.28336806991105956,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,MEDIUM
corn canned,160.25164059805763,78.3998147511524,66.1,1.6,0.0,11.1,0.6,49,True,11.1,8.702379437377916,0.0,0.49,0.13061224223240323,1.3489795643065394,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
swordfish cooked,109.39085597819168,51.672266036853166,72.4,24.9,0.0,0.0,8.4,182,True,0.0,0.0,0.0,1.82,0.547252744245864,0.3978021956164715,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
savoy cabbage raw,132.17354301534573,86.80243738553347,63.7,1.4,0.0,4.3,0.017,19,True,4.3,3.732504807577939,0.0,0.19,0.29473682659279854,3.352631402493084,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,MEDIUM
mcchicken mcdonalds,190.37333469030884,59.93013800535796,60.4,13.7,0.0,36.6,17.3,358,True,36.6,21.934430509961018,0.0,3.58,0.15307262527074686,0.1687150833276115,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,HIGH
hazelnuts blanched,78.24814861231994,49.973245718807,1.6,3.9,0.0,4.8,17.3,178,True,4.8,2.398715794502736,0.0,1.78,0.08764044894584018,0.008988763994445146,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,LOW
waxgourd raw,177.64179066944928,59.54278418393589,126.9,0.5,0.0,4.0,0.3,17,True,4.0,2.3817113673574357,0.0,0.17,0.11764705190311459,7.464705443252621,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,HIGH
wolffish cooked,118.00581911205856,46.84304556837964,176.7,53.4,0.0,0.0,7.3,293,True,0.0,0.0,0.0,2.93,0.7290102364197603,0.6030716702966837,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,MEDIUM
oatmeal cookies with raisins,157.7058186727378,65.82831737021567,1.0,1.0,0.0,10.3,2.4,65,True,10.3,6.780316689132214,0.0,0.65,0.06153846059171599,0.015384615147928998,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,HIGH
almond paste,178.93795891484697,61.20047525641621,32.0,20.4,0.0,108.5,63.0,1040,True,108.5,66.4025156532116,0.0,10.4,0.07846153838609467,0.03076923073964497,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
citrus fruit juice,110.89661401385526,68.1879073845138,217.8,0.8,0.0,28.3,0.057,114,True,28.3,19.297177789817408,0.0,1.14,0.028070175192366886,1.9105262990304712,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,MEDIUM
cheese croissant,119.480963904059,45.42565843943247,16.8,7.4,0.0,37.6,16.7,331,True,37.6,17.080047573226608,0.0,3.31,0.08942598160294266,0.05075528685572421,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
lotus root raw,123.6062415535402,82.94028132594093,91.0,3.0,0.0,19.8,0.1,85,True,19.8,16.422175702536308,0.0,0.85,0.14117646892733565,1.070588222698962,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,MEDIUM
beef empanada,99.34291436579096,42.96274109735636,33.4,10.1,0.0,27.8,16.3,298,True,27.8,11.943642025065067,0.0,2.98,0.13557046934372324,0.11208053653664249,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,MEDIUM
rice bowl with chicken,160.86951267557177,39.20309689384938,19.6,1.6,0.0,6.4,0.4,36,True,6.4,2.5089982012063605,0.0,0.36,0.17777777283950633,0.5444444293209881,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
beef bottom round steak cooked,56.854215235580746,60.10917650316991,261.0,155.8,0.0,0.0,35.1,980,True,0.0,0.0,0.0,9.8,0.6359183666980426,0.26632653034048315,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,LOW
french beans cooked,106.63888666519784,44.40563288740961,117.8,12.5,0.0,42.5,1.3,228,True,42.5,18.872393977149084,0.0,2.28,0.21929824465220069,0.5166666644005848,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
beef tallow,99.97020163759966,34.8576331177554,0.0,0.0,0.0,0.0,12.8,115,True,0.0,0.0,0.0,1.15,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,MEDIUM
chicken broth,171.47669132695148,63.35099430413282,229.8,1.0,0.0,1.0,0.5,12,True,1.0,0.6335099430413282,0.0,0.12,0.3333333055555579,19.1499984041668,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
beef tenderloin steak cooked,125.58805104955648,59.54176584896215,78.5,37.0,0.0,0.0,24.0,374,True,0.0,0.0,0.0,3.74,0.39572192407560985,0.2098930475671309,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
chicken gravy,156.19830925278364,69.38662794614558,203.1,4.6,0.0,12.9,13.6,188,True,12.9,8.950875005052781,0.0,1.88,0.09787233990493435,1.0803191431897918,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,HIGH
chicken flavored rice raw,121.452161467397,57.22849888862724,13.8,17.9,0.0,127.3,2.2,601,True,127.3,72.85187908522248,0.0,6.01,0.11913477517614846,0.022961730411045374,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,MEDIUM
whiting raw,100.1415275781689,59.40462328093302,73.8,16.8,0.0,0.0,1.2,83,True,0.0,0.0,0.0,0.83,0.8096385444621863,0.8891566157932937,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,MEDIUM
egg dried,77.85932149326922,30.19048151583717,0.2,2.4,0.0,0.047,2.2,30,True,0.047,0.01418952631244347,0.0,0.3,0.3199999893333337,0.006666666444444452,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,LOW
radicchio,188.90630611619864,32.19806684033396,60.5,0.9,0.0,2.9,0.2,15,True,2.9,0.9337439383696848,0.0,0.15,0.23999998400000108,4.033333064444463,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
catjang cowpeas raw,148.0978542312257,78.2950984497451,18.5,39.8,0.0,99.6,3.5,573,True,99.6,77.98191805594611,0.0,5.73,0.27783595064950095,0.03228621285813924,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,MEDIUM
tomato chili sauce,142.94980949180834,65.05325097431782,4.1,0.2,0.0,1.2,0.095,6,True,1.2,0.7806390116918138,0.0,0.06,0.13333331111111482,0.6833332194444633,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,MEDIUM
tropical trail mix,151.31726221348936,75.88944249172073,12.6,8.8,0.0,91.8,23.9,619,True,91.8,69.66650820739963,0.0,6.19,0.05686591267065281,0.0203554119218814,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,HIGH
cucumber,108.78594663706068,76.9326721143911,142.8,1.0,0.0,5.4,0.2,23,True,5.4,4.154364294177119,0.0,0.23,0.17391303591682453,6.208695382230636,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,MEDIUM
passion fruit juice yellow,113.031319476413,35.33122391877629,211.5,1.0,0.0,33.6,0.1,126,True,33.6,11.871291236708833,0.0,1.26,0.03174603149407912,1.6785714152494333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,MEDIUM
pork spareribs cooked,58.41237125050199,47.98051185049312,71.5,51.4,0.0,0.0,53.6,703,True,0.0,0.0,0.0,7.03,0.2924608815185478,0.10170696998334712,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,LOW
purslane raw,171.44080985437313,49.04252455880672,39.9,0.9,0.0,1.5,0.2,9,True,1.5,0.7356378683821008,0.0,0.09,0.39999995555556056,4.433332840740795,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,HIGH
cardoon raw,174.2584784865113,82.68792691143753,167.3,1.2,0.0,7.2,0.2,30,True,7.2,5.9535307376235025,0.0,0.3,0.15999999466666684,5.576666480777784,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,HIGH
boiled potatoes,323.0,82.0,77.5,1.87,1.8,20.1,0.1,87,False,18.3,15.006000000000002,0.0895522343506351,0.87,0.08597701050601138,0.8908045874620163,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,HIGH
white bread,100.0,100.0,35.6,8.43,2.4,50.6,3.33,266,False,48.2,48.2,0.047430829102157526,2.66,0.12676691681666571,0.13383458596302789,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
fish,225.0,0.0,79.1,18.8,0.0,0.0,1.19,91,False,0.0,0.0,0.0,0.91,0.8263736172925976,0.8692307596787828,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,HIGH
