Food,Category,Satiety_Index,GI_value,Water_g,Protein_g,Fiber_g,Carbohydrate_g,Fat_g,Energy_kcal,SI_imputed
original taco with beef cheese lettuce taco bell,snacks,54.649512233066794,37.2339595547388,39.3,6.1,0.0,13.7,8.8,158,True
hotdog roll,fruit,164.5222445481054,36.1780423988941,14.4,4.1,0.0,21.1,1.6,117,True
safflower oil,bakery,139.62838201195729,58.54106784308928,0.0,0.0,0.0,0.0,13.6,120,True
pork pancreas cooked,dairy,52.71188998591336,81.51010264538971,147.7,69.8,0.0,0.0,26.5,537,True
chewing gum,bakery,153.3114918976686,58.20548363605252,0.067,0.0,0.0,2.9,0.032,11,True
pork backribs raw,snacks,138.9724540402246,44.528213840741905,679.8,204.2,0.0,0.0,174.9,2399,True
corn canned,carbohydrate-rich,160.25164059805763,78.3998147511524,66.1,1.6,0.0,11.1,0.6,49,True
swordfish cooked,bakery,109.39085597819168,51.672266036853166,72.4,24.9,0.0,0.0,8.4,182,True
savoy cabbage raw,dairy,132.17354301534573,86.80243738553347,63.7,1.4,0.0,4.3,0.017,19,True
mcchicken mcdonalds,snacks,190.37333469030884,59.93013800535796,60.4,13.7,0.0,36.6,17.3,358,True
hazelnuts blanched,carbohydrate-rich,78.24814861231994,49.973245718807,1.6,3.9,0.0,4.8,17.3,178,True
waxgourd raw,bakery,177.64179066944928,59.54278418393589,126.9,0.5,0.0,4.0,0.3,17,True
wolffish cooked,protein-rich,118.00581911205857,46.84304556837964,176.7,53.4,0.0,0.0,7.3,293,True
oatmeal cookies with raisins,protein-rich,157.7058186727378,65.82831737021567,1.0,1.0,0.0,10.3,2.4,65,True
almond paste,bakery,178.93795891484697,61.20047525641621,32.0,20.4,0.0,108.5,63.0,1040,True
citrus fruit juice,fruit,110.89661401385526,68.1879073845138,217.8,0.8,0.0,28.3,0.057,114,True
cheese croissant,dairy,119.48096390405901,45.42565843943247,16.8,7.4,0.0,37.6,16.7,331,True
lotus root raw,dairy,123.60624155354019,82.94028132594093,91.0,3.0,0.0,19.8,0.1,85,True
beef empanada,protein-rich,99.34291436579097,42.96274109735636,33.4,10.1,0.0,27.8,16.3,298,True
rice bowl with chicken,bakery,160.86951267557177,39.203096893849384,19.6,1.6,0.0,6.4,0.4,36,True
beef bottom round steak cooked,snacks,56.854215235580746,60.10917650316991,261.0,155.8,0.0,0.0,35.1,980,True
french beans cooked,bakery,106.63888666519784,44.40563288740961,117.8,12.5,0.0,42.5,1.3,228,True
beef tallow,protein-rich,99.97020163759966,34.8576331177554,0.0,0.0,0.0,0.0,12.8,115,True
chicken broth,bakery,171.47669132695148,63.35099430413282,229.8,1.0,0.0,1.0,0.5,12,True
beef tenderloin steak cooked,carbohydrate-rich,125.58805104955648,59.54176584896215,78.5,37.0,0.0,0.0,24.0,374,True
chicken gravy,dairy,156.19830925278364,69.38662794614558,203.1,4.6,0.0,12.9,13.6,188,True
chicken flavored rice raw,protein-rich,121.452161467397,57.22849888862724,13.8,17.9,0.0,127.3,2.2,601,True
whiting raw,snacks,100.1415275781689,59.40462328093302,73.8,16.8,0.0,0.0,1.2,83,True
egg dried,snacks,77.85932149326922,30.190481515837174,0.2,2.4,0.0,0.047,2.2,30,True
radicchio,carbohydrate-rich,188.90630611619864,32.19806684033396,60.5,0.9,0.0,2.9,0.2,15,True
catjang cowpeas raw,snacks,148.0978542312257,78.2950984497451,18.5,39.8,0.0,99.6,3.5,573,True
tomato chili sauce,snacks,142.94980949180834,65.05325097431782,4.1,0.2,0.0,1.2,0.095,6,True
tropical trail mix,dairy,151.31726221348936,75.88944249172073,12.6,8.8,0.0,91.8,23.9,619,True
cucumber,protein-rich,108.78594663706069,76.9326721143911,142.8,1.0,0.0,5.4,0.2,23,True
passion fruit juice yellow,protein-rich,113.03131947641299,35.33122391877629,211.5,1.0,0.0,33.6,0.1,126,True
pork spareribs cooked,carbohydrate-rich,58.41237125050199,47.980511850493116,71.5,51.4,0.0,0.0,53.6,703,True
purslane raw,dairy,171.44080985437313,49.04252455880672,39.9,0.9,0.0,1.5,0.2,9,True
cardoon raw,protein-rich,174.2584784865113,82.68792691143753,167.3,1.2,0.0,7.2,0.2,30,True
boiled potatoes,vegetable,323.0,82.0,77.5,1.87,1.8,20.1,0.1,87,False
white bread,bakery,100.0,100.0,35.6,8.43,2.4,50.6,3.33,266,False
fish,protein-rich,225.0,0.0,79.1,18.8,0.0,0.0,1.19,91,False
